RowId	PriorStatus	AuthorityStatus	SharedMechanism	Disposition	ReasonClass	ProducerCount	ProducerReachableInActivated	ProofStrength
BP12 CleanupSurvivesHttpReceiptLoss	NOT_IMPLEMENTED	CANDIDATE_ONLY	PROCESS_KILL-G-L-G-H	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	COMPONENT_ONLY
BP19 AllStageEnumMembersHaveExactProjection	NOT_IMPLEMENTED	CANDIDATE_ONLY	G-M	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	NO	NONE
BP20 TransientO18SettlesThenSameOwnerRetryReachesAvailable	NOT_IMPLEMENTED	CANDIDATE_ONLY	REENTRY-STATE-CAS	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	COMPONENT_ONLY
BP20 ReentryCannotRaceStageOrTerminalIntent	NOT_IMPLEMENTED	CANDIDATE_ONLY	REENTRY-STATE-CAS	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	COMPONENT_ONLY
BP20 TerminalOrDifferentOwnerCannotReenter	NOT_IMPLEMENTED	CANDIDATE_ONLY	REENTRY-STATE-CAS	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	COMPONENT_ONLY
BP20 ExpiredTransientAttemptFinalizesRecaptureWithoutHistoryRewrite	NOT_IMPLEMENTED	CANDIDATE_ONLY	REENTRY-STATE-CAS	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	COMPONENT_ONLY
BP21 LostR1ResponseBeforeKeyRecoversWithoutMaterial	NOT_IMPLEMENTED	CANDIDATE_ONLY	PROCESS_KILL-NPS01-RE01	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	COMPONENT_ONLY
P23 A3_S02_O23_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	R2-INTERNAL-CAUSE	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	NO	GREEN_ONLY
BP17 ProviderUnknownDoesNotInventInputMismatch	NOT_IMPLEMENTED	CANDIDATE_ONLY	AUTH-PROVIDER-UNKNOWN	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	COMPONENT_ONLY
P29 A3_S02_O29_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	OPERATIVE_IMPLEMENTATION_AUTHORITY	ASSEMBLY-WORK-SOURCE	DEFERRED_BY_HOMEOWNER_SCOPE	ASSEMBLY_NOT_ACTIVATION_PREREQUISITE	0	NO	COMPONENT_ONLY
P30 A3_S02_O30_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	OPERATIVE_IMPLEMENTATION_AUTHORITY	ASSEMBLY-WORK-SOURCE	DEFERRED_BY_HOMEOWNER_SCOPE	ASSEMBLY_NOT_ACTIVATION_PREREQUISITE	0	NO	COMPONENT_ONLY
P31 A3_S02_O31_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	OPERATIVE_IMPLEMENTATION_AUTHORITY	ASSEMBLY-WORK-SOURCE	DEFERRED_BY_HOMEOWNER_SCOPE	ASSEMBLY_NOT_ACTIVATION_PREREQUISITE	0	NO	COMPONENT_ONLY
P32 A3_S02_O32_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	OPERATIVE_IMPLEMENTATION_AUTHORITY	ASSEMBLY-WORK-SOURCE	DEFERRED_BY_HOMEOWNER_SCOPE	ASSEMBLY_NOT_ACTIVATION_PREREQUISITE	0	NO	COMPONENT_ONLY
P33 A3_S02_O33_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	OPERATIVE_IMPLEMENTATION_AUTHORITY	ASSEMBLY-WORK-SOURCE	DEFERRED_BY_HOMEOWNER_SCOPE	ASSEMBLY_NOT_ACTIVATION_PREREQUISITE	0	NO	COMPONENT_ONLY
P34 A3_S02_O34_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	OPERATIVE_IMPLEMENTATION_AUTHORITY	ASSEMBLY-WORK-SOURCE	DEFERRED_BY_HOMEOWNER_SCOPE	ASSEMBLY_NOT_ACTIVATION_PREREQUISITE	0	NO	COMPONENT_ONLY
P35 A3_S02_O35_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	OPERATIVE_IMPLEMENTATION_AUTHORITY	ASSEMBLY-WORK-SOURCE	DEFERRED_BY_HOMEOWNER_SCOPE	ASSEMBLY_NOT_ACTIVATION_PREREQUISITE	0	NO	COMPONENT_ONLY
P36 A3_S02_O36_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	OPERATIVE_IMPLEMENTATION_AUTHORITY	ASSEMBLY-WORK-SOURCE	DEFERRED_BY_HOMEOWNER_SCOPE	ASSEMBLY_NOT_ACTIVATION_PREREQUISITE	0	NO	COMPONENT_ONLY
P01 A3_S02_O01_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	A1-AUTH	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	GREEN_ONLY
P06 A3_S02_O06_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	ADMISSION-SIZE	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	NONE
P07 A3_S02_O07_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	ADMISSION-EFFECTIVE-EXPIRY	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	GREEN_ONLY
P11 A3_S02_O11_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	BROKER-CLAIM-TOKEN	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	NONE
P16 A3_S02_O16_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	BROKER-RESERVATION-STATE	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	NONE
P24 A3_S02_O24_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	READINESS-TIME-BOUNDS	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	GREEN_ONLY
P25 A3_S02_O25_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	READINESS-CAPACITY	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	3	YES	GREEN_ONLY
P26 A3_S02_O26_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	INGRESS-POSTURE	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	NO	NONE
P27 A3_S02_O27_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	AGENT-HOST-POSTURE	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	NO	NONE
P28 A3_S02_O28_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	CANDIDATE_ONLY	RECONCILER-HOST-POSTURE	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	NO	NONE
A3_RetentionSnapshot_ExactPermitRevision	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-REVISION-FREEZE	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	NO	NONE
A3_C3_OuterAdmissionClockAfterAllLocks	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-POST-LOCK-CLOCK	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	UNKNOWN	NONE
A3_RetentionReplay_CommonSessionPrefix	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-REPLAY-PREFIX	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	UNKNOWN	NONE
A3_RetentionCheckpoint_LatestReferenceNotOldEffective	CANDIDATE_PENDING_RATIFICATION	CANDIDATE_ONLY	RETENTION-LATEST-HEAD	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	MUTATION_DISCRIMINATED
A3_ExportWithdrawal_BlocksBeforeProviderRead	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-WITHDRAWAL-PRE-PROVIDER	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	1	YES	COMPONENT_ONLY
A3_Continuation_ReadsFrozenActorAndActualRevisions	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-FROZEN-ACTOR	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	UNKNOWN	NONE
A3_Continuation_DuplicateWorkersDoNotRestartR2	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-DUPLICATE-WORKER	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	UNKNOWN	NONE
A3_Continuation_ExpiredTransientWithoutIntent	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-ORIGINAL-HORIZON	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	UNKNOWN	NONE
A3_RetentionMigration_CheckoutRepresentationsConverge	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-CHECKOUT-BYTES	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	UNKNOWN	NONE
A3_S02_PreNonceA1PrecedenceUnchanged	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-PRE-NONCE-PRECEDENCE	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	UNKNOWN	NONE
A3_CompletionActorAndFailureProjection	NOT_IMPLEMENTED	CANDIDATE_ONLY	RETENTION-COMPLETION-ACTOR	DEFERRED_BY_HOMEOWNER_SCOPE	CANDIDATE_AUTHORITY_NOT_OPERATIVE_FOR_DELIVERY	0	UNKNOWN	NONE
