RowId	ScenarioFamily	ProductionOwner	SharedScenario	GuardToMutate	ExactExitCondition	CurrentClassification
E01_Race_IssueWithdrawal	AUTHORITY_DECISION	HTTP Issue/E01-W plus actual R1 on race-issued permit	Reuse frozen E01 successor proof; no rerun absent affected source drift	None; historical targeted guard already RED	Explicit Homeowner ratification or reopen with concrete finding	CANDIDATE_PENDING_RATIFICATION
A3_RetentionSnapshot_ExactPermitRevision	RETENTION_LINEAGE	PostgreSQL retained-snapshot append and lineage trigger	Actual revision-1 permit then revision-2 and missing revision through same append fixture	RETENTION-PERMIT-REVISION	Exact revision join, negative residue, bigint catalogue linkage, no schema-version conflation	NOT_IMPLEMENTED
A3_RetentionCheckpoint_LatestReferenceNotOldEffective	RETENTION_LINEAGE	PostgreSQL current-authority resolver shared by R1/R3/R4/R5 and export checkpoints	One updated/withdrawn reference with old event still effective, run all fresh checkpoints	RETENTION-LATEST-REFERENCE	Every fresh checkpoint denies; removing latest-head predicate makes intended case RED	NOT_IMPLEMENTED
A3_ExportWithdrawal_BlocksBeforeProviderRead	RETENTION_LINEAGE	Actual retained-source C3 begin-stream	Same seeded export package, first positive then underlying reference withdrawal	RETENTION-C3-WITHDRAWAL	Ineligible, provider reader OpenCount 0, zero Streaming event; guard mutation RED	NOT_IMPLEMENTED
A3_C3_OuterAdmissionClockAfterAllLocks	SESSION_LOCK_CLOCK	Outer C3 begin-stream SQL after real session-prefix lock	Three horizons (authorization, recipient-key, retained source), each delayed and live sibling	RETENTION-C3-POSTLOCK-CLOCK	Prove actual SQL waited; exact typed denial or success, zero reader/event on denial; stale outer-clock mutation RED	NOT_IMPLEMENTED
A3_RetentionReplay_CommonSessionPrefix	SESSION_LOCK_CLOCK	Public same-source replay and TI01/TI02/RE01/R3/R4/R5	One shared lock harness for both acquisition orders and all six competing stages	RETENTION-SESSION-PREFIX	Both production callers enter SQL and second blocks on same session row; exact replay/residue; removing named prefix RED	NOT_IMPLEMENTED
A3_Continuation_ReadsFrozenActorAndActualRevisions	CONTINUATION_WORKER	Durable continuation readback and worker actor selection	Restart without request credential using stored actor and exact returned revisions	RETENTION-FROZEN-ACTOR	Mutation to current credential or assumed revision RED; no fabricated caller context	NOT_IMPLEMENTED
A3_Continuation_DuplicateWorkersDoNotRestartR2	CONTINUATION_WORKER	Two real continuation workers sharing one durable candidate	Compete from provisional, staged and committed cut points using shared setup	RETENTION-WORKER-CAS	One durable stage/transition, zero second body/encryption; duplicate guard mutation RED	NOT_IMPLEMENTED
A3_Continuation_ExpiredTransientWithoutIntent	CONTINUATION_WORKER	Original-horizon scanner, TI01/TI02 and competing workers	Before/after original H with operationally terminated intent-free attempt	RETENTION-ORIGINAL-HORIZON	Before H nonterminal, after H exact O20 once, original operational time stable; scan/horizon mutation RED	NOT_IMPLEMENTED
A3_RetentionMigration_CheckoutRepresentationsConverge	MIGRATION_REPRESENTATION	Independently compiled CRLF/LF checkouts and PostgreSQL observed catalogues	Shared two-checkout Up/Down/Up and non-EOL/lone-CR negative controls	RETENTION-CHECKOUT-BYTES	Full signature/body/owner/ACL/search_path/result/DDL catalogue equality and drift mutation RED	NOT_IMPLEMENTED
A3_S02_PreNonceA1PrecedenceUnchanged	PUBLIC_PRECEDENCE	Actual HTTP A1 auth/metadata/crypto/dependency path before nonce consumption	One table-driven mixed-failure matrix with valid adjacent controls	RETENTION-PRE-NONCE-PRECEDENCE	Real HTTP precedence unchanged; targeted guard perturbation RED without generic short-circuit	NOT_IMPLEMENTED
A3_CompletionActorAndFailureProjection	COMPLETION_PROJECTION	Real completion caller to finalization boundary and retained source selection	Two Available classes; correct actor plus selection/DB failure controls	RETENTION-COMPLETION-ACTOR	Correct actor/typed failures; mutation to inferred actor, swallowed selection or DB failure RED	NOT_IMPLEMENTED
