RecordKind	OutcomeCode	RowId	RequirementSummary	Phase	Authority	AuthorityStatus	ProductionProducers	ProducerCount	ProducerReachableInActivated	ReachabilityEvidence	SharedMechanism	ExistingProof	ProofStrength	ProofBoundary	RestoreEvidence	RestoredGate	AuditDisposition	ExactGap	ActivationBlockingBasis	Notes
OUTCOME_CODE	ACCESS_DENIED	P01 A3_S02_O01_ExactOutcomeShapeStatusAndResidue	ACCESS_DENIED requires 403 existing A1 at A1 P0 with No A3/body; original auth/N semantics.	A1 P0	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:170	CANDIDATE_ONLY	server/src/TagEkyc.Api/RawExportSourceIngressEndpoints.cs:38	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	A1-AUTH	NONE	GREEN_ONLY	SHIPPING_JOINED	NOT_TRACED	NONE	AUTHORITY_DECISION_REQUIRED	Decide whether the existing A1 authentication rejection requires a separate A3 Agent-joined proof before Activated.	NOT_TRACED	Structural reachability assumes a future zero-open seal; current seal blocks Activated.
OUTCOME_CODE	RAW_EXPORT_SOURCE_BINDING_INVALID	NONE	RAW_EXPORT_SOURCE_BINDING_INVALID requires 403 O at A3 P1 with No body/R1; do not disclose other binding.	A3 P1	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:171;server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_proof_reconciliation_v0_2.md:122	HOMEOWNER_RATIFIED	server/src/TagEkyc.Infrastructure/RawExport/RawIngressBrokerTransactionFacade.cs:66	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	BROKER-BINDING	ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerAdmissionClusterTests.cs:41	MUTATION_DISCRIMINATED	SHIPPING_JOINED	NOT_TRACED	NONE	ALREADY_RATIFIED_COMPLETE	No remaining row closure work is asserted; any additional check would be beyond the ratified evidence.	NOT_TRACED	Already ratified; disposition describes only residual optional audit work.
OUTCOME_CODE	NOT_FOUND_OR_NOT_ALLOWED	NONE	NOT_FOUND_OR_NOT_ALLOWED requires 403 O at A3 P1 with No existence disclosure/new custody.	A3 P1	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:172;server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_proof_reconciliation_v0_2.md:123	HOMEOWNER_RATIFIED	server/src/TagEkyc.Infrastructure/RawExport/RawIngressBrokerTransactionFacade.cs:61	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	BROKER-OWNERSHIP	ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerAdmissionClusterTests.cs:41	MUTATION_DISCRIMINATED	SHIPPING_JOINED	NOT_TRACED	NONE	ALREADY_RATIFIED_COMPLETE	No remaining row closure work is asserted; any additional check would be beyond the ratified evidence.	NOT_TRACED	Already ratified; disposition describes only residual optional audit work.
OUTCOME_CODE	RAW_EXPORT_SOURCE_TRANSPORT_PROTOCOL_INVALID	P04 A3_S02_O04_ExactOutcomeShapeStatusAndResidue	Under the CORRECTED contract authenticated Content-Encoding or Trailer requires exact HTTP 400 O04 with zero B/R1 and zero application body read; malformed framing remains generic pre-auth/Kestrel rejection and early-body ordering belongs to site qualification.	A3 authenticated application header boundary	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_p04_corrected_contract_v1.md:11;server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_proof_reconciliation_v0_2.md:124	HOMEOWNER_RATIFIED	server/src/TagEkyc.Api/RawExportSourceIngressEndpoints.cs:61	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:8;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:97	TRANSPORT-HEADER-GUARD	P04_AuthenticatedContentEncodingReturnsExactO04WithoutR1OrBodyRead@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA1RawIngressBoundaryTests.cs:72;P04_AuthenticatedTrailerReturnsExactO04WithoutR1OrBodyRead@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA1RawIngressBoundaryTests.cs:78;P04_TransferEncodingIsGenericPreAuthenticationRejectionWithoutCommittedNonce@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA1RawIngressBoundaryTests.cs:84	MUTATION_DISCRIMINATED	SHIPPING_JOINED	BYTE_EXACT_RESTORED	server/tests/TagEkyc.IntegrationTests/TestResults/a3-p04/a3-p04-contract-a5.trx	ALREADY_RATIFIED_COMPLETE	No remaining P04 row-closure work exists under the CORRECTED contract. This ratification does not implement the original existing-R1/early-body clause and does not close any Expect row.	server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:97	Homeowner ratified P04 explicitly under the corrected contract; the successor seal remains nonzero and Activated stays blocked.
OUTCOME_CODE	RAW_EXPORT_SOURCE_CAPABILITY_UNAVAILABLE	P05 A3_S02_O05_ExactOutcomeShapeStatusAndResidue	RAW_EXPORT_SOURCE_CAPABILITY_UNAVAILABLE requires 503 O at A3 P1–P3 with No body/R1; preserve existing Evaluating shell/token; original budget only.	A3 P1–P3	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:174;server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_w2_homeowner_scope_decision_v1.md:10	HOMEOWNER_RATIFIED	server/src/TagEkyc.Application/RawExport/CaptureRuntimeRawIngressAdmissionService.cs:25	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	ADMISSION-CAPABILITY	P05_ExistingEvaluatingShellSurvivesCapabilityLossAndSameLeaseRetry@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerAdmissionClusterTests.cs:153;P05_ExistingEvaluatingShellStrictTlsKeepsOriginalLease@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerAdmissionClusterTests.cs:157	MUTATION_DISCRIMINATED	SHIPPING_JOINED	BYTE_EXACT_RESTORED	server/tests/TagEkyc.IntegrationTests/TestResults/a3-p04-p05/a3-p04-p05-closure-restored-joined.trx	ALREADY_RATIFIED_COMPLETE	No remaining P05 row-closure work; P04 and four Expect rows remain separate.	NOT_TRACED	Homeowner ratified P05 by explicit 'Tôi Ratify' after independent technical reviews; current activation seal remains nonzero.
OUTCOME_CODE	RAW_EXPORT_SOURCE_ARTIFACT_SIZE_LIMIT_EXCEEDED	P06 A3_S02_O06_ExactOutcomeShapeStatusAndResidue	RAW_EXPORT_SOURCE_ARTIFACT_SIZE_LIMIT_EXCEEDED requires 413 O at A3 P1/P5 with Declared excess: no body; actual excess: stop first excess, terminal exact attempt/cleanup.	A3 P1/P5	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:175	CANDIDATE_ONLY	server/src/TagEkyc.Infrastructure/RawExport/RawExportR2FramedCiphertextStream.cs:193	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	ADMISSION-SIZE	NONE	NONE	NONE	NOT_TRACED	NONE	AUTHORITY_DECISION_REQUIRED	Decide whether declared per-class excess must be rejected before body ownership; the current live owner only establishes the stream excess path.	NOT_TRACED	Structural reachability assumes a future zero-open seal; current seal blocks Activated.
OUTCOME_CODE	RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID	P07 A3_S02_O07_ExactOutcomeShapeStatusAndResidue	RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID requires 422 O at A3 P1/P3 with No body/R1; preserve anti-reuse identity; no same-buffer retry.	A3 P1/P3	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:176	CANDIDATE_ONLY	server/src/TagEkyc.Infrastructure/Persistence/Migrations/20260913120000_Tip88C1C6BA3RetainedIngressComposition.cs:1823	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	ADMISSION-EFFECTIVE-EXPIRY	C1B2CORE_server_cap_requires_strictly_more_than_deadline_plus_safety@server/tests/TagEkyc.IntegrationTests/Tip88C1B2CoreTests.cs:384	GREEN_ONLY	PRODUCTION_COMPONENT	NOT_TRACED	NONE	AUTHORITY_DECISION_REQUIRED	Decide whether five-way SourceRetention expiry discrimination is an Activated blocker; each minimum member is not separately pinned.	NOT_TRACED	Structural reachability assumes a future zero-open seal; current seal blocks Activated.
OUTCOME_CODE	RAW_EXPORT_SOURCE_CAPACITY_UNAVAILABLE	NONE	RAW_EXPORT_SOURCE_CAPACITY_UNAVAILABLE requires 503 O at A3 P2 with No alias/R1/body; release partial capacity; bounded same-buffer retry.	A3 P2	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:177;server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_proof_reconciliation_v0_2.md:128	HOMEOWNER_RATIFIED	server/src/TagEkyc.Application/RawExport/CaptureRuntimeRawIngressAdmissionService.cs:30	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	ADMISSION-CAPACITY	CapacityDenialTraversesKestrelAgentReleasesSlotAndCreatesNoCustody@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerAdmissionClusterTests.cs:269	MUTATION_DISCRIMINATED	SHIPPING_JOINED	NOT_TRACED	NONE	ALREADY_RATIFIED_COMPLETE	No remaining row closure work is asserted; any additional check would be beyond the ratified evidence.	NOT_TRACED	Already ratified; disposition describes only residual optional audit work.
OUTCOME_CODE	RAW_EXPORT_SOURCE_IDEMPOTENCY_BUSY	NONE	RAW_EXPORT_SOURCE_IDEMPOTENCY_BUSY requires 409 O at A3 P3 with No new source/attempt/read; preserve exact current residue; bounded backoff.	A3 P3	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:178;server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_proof_reconciliation_v0_2.md:129	HOMEOWNER_RATIFIED	server/src/TagEkyc.Infrastructure/Persistence/Migrations/20260913120000_Tip88C1C6BA3RetainedIngressComposition.cs:1094	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	BROKER-CLAIM-LOCK	BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs:42	MUTATION_DISCRIMINATED	SHIPPING_JOINED	NOT_TRACED	NONE	ALREADY_RATIFIED_COMPLETE	No remaining row closure work is asserted; any additional check would be beyond the ratified evidence.	NOT_TRACED	Already ratified; disposition describes only residual optional audit work.
OUTCOME_CODE	RAW_EXPORT_SOURCE_CLAIM_EVALUATION_IN_PROGRESS	NONE	RAW_EXPORT_SOURCE_CLAIM_EVALUATION_IN_PROGRESS requires 409 E at A3 P3 with Exact persisted retry time; no new token/attempt/read.	A3 P3	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_broker_composition_dispatch_v0_5.md:179;server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_proof_reconciliation_v0_2.md:130	HOMEOWNER_RATIFIED	server/src/TagEkyc.Infrastructure/Persistence/Migrations/20260913120000_Tip88C1C6BA3RetainedIngressComposition.cs:1149	1	YES	server/src/TagEkyc.Api/CaptureRuntimeRouteRegistration.cs:25;server/src/TagEkyc.Application/CaptureRuntime/CaptureRuntimeStartup.cs:63	BROKER-CLAIM-TOKEN	BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody@server/tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerClaimClusterTests.cs:42	MUTATION_DISCRIMINATED	SHIPPING_JOINED	NOT_TRACED	NONE	ALREADY_RATIFIED_COMPLETE	No remaining row closure work is asserted; any additional check would be beyond the ratified evidence.	NOT_TRACED	Already ratified; disposition describes only residual optional audit work.
