RowId	ScenarioFamily	Disposition	EvidenceOrExactGap
E01_Race_IssueWithdrawal	AUTHORITY_DECISION	CANDIDATE_PENDING_RATIFICATION	Frozen E01 successor proof is already technically accepted; only explicit Homeowner ratification remains. No W5 source change to its production guard; no duplicate expensive run.
A3_RetentionSnapshot_ExactPermitRevision	RETENTION_LINEAGE	OPEN_REACHABILITY_AUTHORITY_GAP	Current-source PostgreSQL control rejects revision 2 and NULL and accepts exact revision 1 with bigint catalogue type. Source-wide producer inventory finds only raw_source_issue_retention_authority, which always inserts revision 1; no production path emits permit revision 2. A discriminating two-valid-revision test cannot be built without new product semantics or reclassification.
A3_C3_OuterAdmissionClockAfterAllLocks	SESSION_LOCK_CLOCK	OPEN_PROOF_GAP	Existing C3 session-prefix two-order controls and cross-border stage clocks pass in W5 joined gate, but the three independent outer authorization/key/retention horizon lock-wait cases and stale outer-clock mutation are absent.
A3_RetentionReplay_CommonSessionPrefix	SESSION_LOCK_CLOCK	OPEN_PROOF_GAP	C3 and export checkpoint session-order components exist; public same-source replay against TI01/TI02/RE01/R3/R4/R5 in both actual SQL lock orders and named-prefix mutation are absent.
A3_RetentionCheckpoint_LatestReferenceNotOldEffective	RETENTION_LINEAGE	CANDIDATE_PENDING_RATIFICATION	Old reference event remains time-effective after revision update; R1/R3/R4/R5 fresh checkpoints all deny. One shared latest-head mutation makes exactly those four cases RED while snapshot/export controls stay GREEN; exact restored gate 15/15.
A3_ExportWithdrawal_BlocksBeforeProviderRead	RETENTION_LINEAGE	OPEN_PROOF_GAP	Real package and C3 withdrawal case shows Ineligible reader.OpenCount 0 and no Streaming event; broad C3 begin authority guard mutation is 6 GREEN/1 RED, but the narrower retained-snapshot branch mutation remains 7/7 GREEN under an independent guard, so exact branch discrimination is not complete.
A3_Continuation_ReadsFrozenActorAndActualRevisions	CONTINUATION_WORKER	OPEN_PROOF_GAP	Typed readback and actor restoration exist separately; one restart with stored actor and exact revision followed by current-credential/assumed-revision mutation is absent.
A3_Continuation_DuplicateWorkersDoNotRestartR2	CONTINUATION_WORKER	OPEN_PROOF_GAP	Process-kill and single-worker continuation controls exist; two real workers competing at provisional/staged/committed cuts with one durable transition and duplicate-guard mutation are absent.
A3_Continuation_ExpiredTransientWithoutIntent	CONTINUATION_WORKER	OPEN_PROOF_GAP	Original-horizon NPS/TI controls exist; one original-attempt before/after-H scanner race with intent-free operational termination and no duplicate workers is absent.
A3_RetentionMigration_CheckoutRepresentationsConverge	MIGRATION_REPRESENTATION	OPEN_PROOF_GAP	Migration roundtrip and installed-body checks exist; independently compiled LF/CRLF checkouts with observed PostgreSQL catalogue equality and negative controls are absent.
A3_S02_PreNonceA1PrecedenceUnchanged	PUBLIC_PRECEDENCE	OPEN_PROOF_GAP	Prior A1 and S02 proofs exist; one actual HTTP mixed-failure table proving A1 precedence before nonce on current source with targeted guard mutation is absent.
A3_CompletionActorAndFailureProjection	COMPLETION_PROJECTION	OPEN_PROOF_GAP	Two-class completion and finalization components exist; exact actor selection plus selection/DB-failure typed projection and independent mutations are absent.
