RowId	CurrentStatus	MacroWave	ScenarioFamily	SharedGuard	ExitCondition
BP12 CleanupSurvivesHttpReceiptLoss	NOT_IMPLEMENTED	W1_R2_R6_EXECUTION	CRASH_RECOVERY	PROCESS_KILL+G-L+G-H	PASS_OR_NAMED_BLOCKER
BP19 AllStageEnumMembersHaveExactProjection	NOT_IMPLEMENTED	W1_R2_R6_EXECUTION	PROJECTION_NO_EGRESS	G-M	PASS_OR_SEMANTIC_BLOCKER
BP20 TransientO18SettlesThenSameOwnerRetryReachesAvailable	NOT_IMPLEMENTED	W1_R2_R6_EXECUTION	REENTRY_STATE	G-U+G-E+G-S+G-C+G-P	PASS_OR_NAMED_BLOCKER
BP20 ReentryCannotRaceStageOrTerminalIntent	NOT_IMPLEMENTED	W1_R2_R6_EXECUTION	REENTRY_STATE	G-E+G-S+G-T	PASS_OR_NAMED_BLOCKER
BP20 TerminalOrDifferentOwnerCannotReenter	NOT_IMPLEMENTED	W1_R2_R6_EXECUTION	REENTRY_STATE	G-E+G-T	PASS_OR_NAMED_BLOCKER
BP20 ExpiredTransientAttemptFinalizesRecaptureWithoutHistoryRewrite	NOT_IMPLEMENTED	W1_R2_R6_EXECUTION	REENTRY_STATE	G-E+G-T	PASS_OR_NAMED_BLOCKER
BP21 LostR1ResponseBeforeKeyRecoversWithoutMaterial	NOT_IMPLEMENTED	W1_R2_R6_EXECUTION	CRASH_RECOVERY	PROCESS_KILL+NPS01+RE01	PASS_OR_NAMED_BLOCKER
P23 A3_S02_O23_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W1_R2_R6_EXECUTION	PROJECTION_NO_EGRESS	G-U+G-T+G-H	PASS_OR_NAMED_BLOCKER
BP17 ProviderUnknownDoesNotInventInputMismatch	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	PROVIDER_UNKNOWN_SEMANTICS	AUTH-PROVIDER-UNKNOWN	OPEN_WITH_EXACT_MISSING_JOIN
P04 A3_S02_O04_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	NO_PRODUCTION_EMITTER	W2-G-O04	OPEN_EXISTING_R1_TERMINALIZATION_JOIN
P05 A3_S02_O05_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	NO_PRODUCTION_EMITTER	W2-G-O05	OPEN_ACTIVE_CAPABILITY_RETRY_FAMILY
P29 A3_S02_O29_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-ASSEMBLY-CALLER+O29	OPEN_PRODUCTION_WORK_SOURCE_JOIN
P30 A3_S02_O30_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-O30	OPEN_PRODUCTION_WORK_SOURCE_JOIN
P31 A3_S02_O31_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-O31	OPEN_PRODUCTION_WORK_SOURCE_JOIN
P32 A3_S02_O32_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-O32	OPEN_PRODUCTION_WORK_SOURCE_JOIN
P33 A3_S02_O33_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-O33	OPEN_PRODUCTION_WORK_SOURCE_JOIN
P34 A3_S02_O34_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-O34	OPEN_PRODUCTION_WORK_SOURCE_JOIN
P35 A3_S02_O35_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-O35	OPEN_PRODUCTION_WORK_SOURCE_JOIN
P36 A3_S02_O36_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W2_AUTHORIZED_IMPLEMENTATION	ASSEMBLY_CALLER_SCOPE	W2-G-O36	OPEN_PRODUCTION_WORK_SOURCE_JOIN
P01 A3_S02_O01_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W3_ADMISSION_OUTCOMES	AUTH_ADMISSION	ADMISSION-AUTH	PASS_OR_NAMED_BLOCKER
P06 A3_S02_O06_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W3_ADMISSION_OUTCOMES	PRE_BODY_LIMITS	ADMISSION-DECLARED-SIZE	PASS_OR_PRODUCT_DEFECT
P07 A3_S02_O07_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W3_ADMISSION_OUTCOMES	PRE_BODY_LIMITS	ADMISSION-FIVE-WAY-EXPIRY	PASS_OR_PRODUCT_DEFECT
P11 A3_S02_O11_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W3_ADMISSION_OUTCOMES	BROKER_PRE_BODY_FINALS	ADMISSION-CLAIM-TOKEN	PASS_OR_NAMED_BLOCKER
P16 A3_S02_O16_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W3_ADMISSION_OUTCOMES	BROKER_PRE_BODY_FINALS	ADMISSION-LEASE-STATE	PASS_OR_NAMED_BLOCKER
P24 A3_S02_O24_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	NO-EGRESS-WIRE-FAIL-CLOSED	PASS_OR_NAMED_BLOCKER
P25 A3_S02_O25_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	NO-EGRESS-WIRE-FAIL-CLOSED	PASS_OR_NAMED_BLOCKER
P26 A3_S02_O26_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	NO-EGRESS-WIRE-FAIL-CLOSED	PASS_OR_NAMED_BLOCKER
P27 A3_S02_O27_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	NO-EGRESS-WIRE-FAIL-CLOSED	PASS_OR_NAMED_BLOCKER
P28 A3_S02_O28_ExactOutcomeShapeStatusAndResidue	NOT_IMPLEMENTED	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	NO-EGRESS-WIRE-FAIL-CLOSED	PASS_OR_NAMED_BLOCKER
E01_Race_IssueWithdrawal	CANDIDATE_PENDING_RATIFICATION	W5_RETENTION_CUSTODY	E01_WITHDRAWAL_RACE	RETENTION-CURRENT-AUTHORITY	RATIFY_OR_REOPEN
A3_RetentionSnapshot_ExactPermitRevision	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	REVISION_SNAPSHOT	RETENTION-REVISION-FREEZE	PASS_OR_NAMED_BLOCKER
A3_C3_OuterAdmissionClockAfterAllLocks	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	POST_LOCK_CLOCK	RETENTION-POST-LOCK-CLOCK	PASS_OR_NAMED_BLOCKER
A3_RetentionReplay_CommonSessionPrefix	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	REPLAY_IDENTITY	RETENTION-REPLAY-PREFIX	PASS_OR_NAMED_BLOCKER
A3_RetentionCheckpoint_LatestReferenceNotOldEffective	CANDIDATE_PENDING_RATIFICATION	W5_RETENTION_CUSTODY	CHECKPOINT_HEAD	RETENTION-LATEST-HEAD	RATIFY_OR_REOPEN
A3_ExportWithdrawal_BlocksBeforeProviderRead	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	WITHDRAWAL_AUTHORITY	RETENTION-WITHDRAWAL-PRE-PROVIDER	PASS_OR_NAMED_BLOCKER
A3_Continuation_ReadsFrozenActorAndActualRevisions	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	CONTINUATION_IDENTITY	RETENTION-FROZEN-ACTOR	PASS_OR_NAMED_BLOCKER
A3_Continuation_DuplicateWorkersDoNotRestartR2	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	WORKER_CAS	RETENTION-DUPLICATE-WORKER	PASS_OR_NAMED_BLOCKER
A3_Continuation_ExpiredTransientWithoutIntent	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	ORIGINAL_HORIZON	RETENTION-ORIGINAL-HORIZON	PASS_OR_NAMED_BLOCKER
A3_RetentionMigration_CheckoutRepresentationsConverge	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	MIGRATION_REPRESENTATION	RETENTION-CHECKOUT-BYTES	PASS_OR_NAMED_BLOCKER
A3_S02_PreNonceA1PrecedenceUnchanged	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	PRECEDENCE	RETENTION-PRE-NONCE-PRECEDENCE	PASS_OR_NAMED_BLOCKER
A3_CompletionActorAndFailureProjection	NOT_IMPLEMENTED	W5_RETENTION_CUSTODY	COMPLETION_PROJECTION	RETENTION-COMPLETION-ACTOR	PASS_OR_NAMED_BLOCKER
A3_AgentRawExpectDoesNotSendBeforeCommittedR1	NOT_IMPLEMENTED	W6_TRANSPORT_SEAMS	EXPECT_DURABLE_FENCE	TRANSPORT-EXPECT-R1	PASS_OR_NAMED_BLOCKER
BP03 BrokerCommitObservedBeforeFirstRawRead	NOT_IMPLEMENTED	W6_TRANSPORT_SEAMS	EXPECT_DURABLE_FENCE	TRANSPORT-B-COMMIT	PASS_OR_NAMED_BLOCKER
BP10 WindowCapacityIsBoundedAcrossAllExitPaths	NOT_IMPLEMENTED	W6_TRANSPORT_SEAMS	CAPACITY_RELEASE	TRANSPORT-CAPACITY-EXIT	PASS_OR_NAMED_BLOCKER
BP13 ThreeExpectTransportMutationsFailQualification	NOT_IMPLEMENTED	W6_TRANSPORT_SEAMS	EXPECT_QUALIFICATION	TRANSPORT-EXPECT-QUALIFICATION	PASS_OR_NAMED_BLOCKER
Agent raw HTTP Expect → durable server B/R1 before first body byte	NOT_IMPLEMENTED	W6_TRANSPORT_SEAMS	EXPECT_DURABLE_FENCE	TRANSPORT-EXPECT-R1	PASS_OR_NAMED_BLOCKER
