sha256	source_document	line
0012F9F6E46515131FA86796CFA281562BD9EBAF8AB42600835E0EE9FF60BBE2	proof_reconciliation	270
0108D7FFA54745F2541928DCE8A34E47D7867D0D4D8EA9CE4033E6E2A930C74A	proof_reconciliation	461
05D7A88F4FD97E238ED3C917F3258940DAA63F1F414A5EB9547243A78CED80FD	proof_reconciliation	247
0A34FC1CAD74F8F0E129627AACAD81FAEC8252EC3189EE870D2947673D8CBA14	proof_reconciliation	525
16EF192B950A24865C01FD6A02E4E6CEF24EF025FDAC1D69C82B7751F0C409DE	implementation_ledger	1180
1E87BE1D5BBDF4CC3FE7EEFE05EC9B52716B973C0EA9E3E258EDC76FAA258D63	proof_reconciliation	421
1FDB259A108DA8543D6EDE335EAA85954CA82B152AD5AA3FCBCD37AC51E5C3A9	proof_reconciliation	607
267E1948C8031DF7328AE83858487D7E9629FB3C728537E322C416F79979DEFB	proof_reconciliation	271
2F62CC0C7C1227B2B343F6A2838280526288781CEB0D7F141202774F2054409E	proof_reconciliation	247
4E47322D7354033BAA80995811DCAD339DED8F6B2280CB1F62392ED2969391FC	implementation_ledger	1543
4EED07748396D6B530E08E1F4D672F1FC2D82498D8BF0D6EB12E4F3294B88B17	proof_reconciliation	525
513C1732E0F85325F0268C9B6E7DF55C50DB7B2E815BE8CCA38C675FDF570050	implementation_ledger	1405
5254C9957A0376A2175E32E4E87DEBDA9F49707A036628F871258E51E71AC1DB	proof_reconciliation	427
5370612BC84A715795873713F3C3260347204F68D5014F063BE4A02B95FBAD20	proof_reconciliation	525
5500CF933B74C246839A9DC205C26EFD8A07A1A4294FA4861994336AB910CCF4	proof_reconciliation	247
59980CB0EDDB1959A952A31B946754621E91579160294A060B2E3AEA16C48D76	proof_reconciliation	617
5E7A96E9D4975A79CA34841DFE3AEF007E6145E95243CBA62FFF5DB22B856904	proof_reconciliation	562
5FADCF7741E4C07AD5EEFE70D74577E0B7C7D4CD8D67EAB9CDADE95921D0AD54	proof_reconciliation	415
62B22AD6417C069B5A9B79329CDA58E0A33E52488A386A4E1A6E3480F26F6140	proof_reconciliation	503
68366D38E56084C962703BA8B3082E672C005A78F80BFDCE22E8210E3BBEE7CF	proof_reconciliation	427
68DDF9625B62160F1E8005F0CE56F48980BEBE6FE3876F159B67E914EE264BDF	proof_reconciliation	288
69E3D7F8E54FE6BB209D891FC366CA2E79D803E9C42E0646634A6559379E3890	proof_reconciliation	247
6ADA0CCF2BE94E6B7D928766A268D5E0BE0C3D4704026F1526B3E40B22DFD8FC	proof_reconciliation	288
7299AA4C1D6BFC4ADD5909C1BCD3A44F6F6CD586C161BB58F3521003C80BE797	implementation_ledger	1181
74EF73B7812A489CA949CE29AFEDFCDA9A552E7410B4CCB87B34D79AEA543634	proof_reconciliation	504
7E5D753CE282226DE454DC616A8E22489598523C944D1AB79169875075DAD244	proof_reconciliation	447
8132C3C7504566EA856E9C04731E360EBAD52349C2D33FCE06F873A5CD0F5D61	proof_reconciliation	395
8417421B4BD6A0EF75A6F863425E209D4DCD168284DFA059CBDF5C14FF4745C2	proof_reconciliation	554
8554CAD47A8925FFE918C1B4CDDBD22B70B40199991B1476E31AE3CD4CCF038C	proof_reconciliation	247
89262541F4681AEE6437247D652611B7771CE2A77809ECE8A3420C093FBE566C	proof_reconciliation	520
8DDBE609EF5DFE0472A3698152FCD4E9F4099F3169845E7C923D02C82989612D	proof_reconciliation	457
943E2324B1CE6E6B748A6EB2DECDE9192ACC6420C3062672B21A88F86A7C3A1B	implementation_ledger	1537
9866299BED018F430046AAFC353D374D0AD7F1CEE6116C788E130785ECEB8D08	proof_reconciliation	524
98754253EF8C827767A8629C3E0B204D51B20897A847CA16C68B1A0DC4CA5013	proof_reconciliation	319
98EEDBA9C832CAD7D93521CDAD3B0F604F36BEA3BD848E178EEEAEBF54B6866A	proof_reconciliation	271
9FE8D7D8F87917E7A92AD776F38C4DEAD2DA45C732C99FE73B2DBC87F5D10681	proof_reconciliation	524
A29DD3FA19D51C530D654A239F57B6CAB7B798252076A77C58737683F83C1052	proof_reconciliation	380
A60D74A73C2B42DEFDD38697858A0811ED2733F254B5685CC5EBF20D9AC5D056	proof_reconciliation	524
A61D692DCDDEA90667486484F3637D86AE3523EE06EAE071F64B06BE5F3145BE	proof_reconciliation	524
A82CB2D0A0611F1EA036341957180D95E3E105278FCCB05C3D4E51909629656B	proof_reconciliation	524
A9B828CA8710455545CC295155BF79F32FC030F2DD2CFB431E1C879B56E4D680	proof_reconciliation	401
A9FE7B47C9D26D889DF9094D3DAAC28E20230FF73349AB8BE1CF8561BFAEFAED	proof_reconciliation	341
AFD102B3F0E6BD77CC13B83DFA221CBCC426E23E44B21B3DFA33102803F78BBD	implementation_ledger	1179
BD2EF56DEDBE53D54B1F31438351FE19F58C663A2D439EE3C0B3BF8B37A1967C	proof_reconciliation	506
BF1B8CE65EDD2D40C941ADD0EACF0F3336221827FFF03FF5C8683D1EF7331D86	proof_reconciliation	439
BFD82FE8242C96EB560507ADC42152F89CAD9CB37A8555231EBB3EE81A5972BB	proof_reconciliation	568
C1923603EEB19D9846A21B36F575A7E84AADB305CC19D56726D988B362DA3826	proof_reconciliation	247
C3741F0C3FD87735435F2C6AF9610CC94A9C4ACE8F36F64B376D99B90345F781	implementation_ledger	1533
C961C389123F9FFD894CE584AC89A6426D6C82795B2DE7A7821175630C1CB1C1	proof_reconciliation	597
D7808796544E11A1416EDC9873722792A325834C0CB884A1C89EB1FDA350F0A9	implementation_ledger	1178
DB7A9222A40C43541F91ADB5F2D1444C771374D7D2D898EF414348898034E814	proof_reconciliation	380
DC4A823F25BEF556893D4473B17915171C900ACD2A3EE9836F276BCADB276519	implementation_ledger	1406
DEE258163946475EE6FDDCA33CF793E0ED82AABD481473462F2C8EC40C2E3540	proof_reconciliation	309
E2517194663714030A6B9A38FF29F6B70F39B33208048344455734FCEBF34200	proof_reconciliation	447
E41CAC12F003D51C4A273867D61055B152EF595E54460155FA555C9E10C7C3D9	proof_reconciliation	403
E84CEF8B8CB10B416DD4F9BC35AFEB482975CE11379D083ACDFE0A057C544BB5	proof_reconciliation	433
EE8F4C0405A517EA678E8C21A9EE9ADDC98A9F7F75D724E22F87346CB1050F88	proof_reconciliation	587
F4E819F01BA339695E0594492C83DCA0D7E16F198EEA97AFDEA5DD0EBE4DE3A5	proof_reconciliation	505
FEBFD140B9DDA2C213F4D1A823A0476E7AA38E294A726F683DB5E822BCD213CE	implementation_ledger	1407
7EED7480906F4779E19D0AAA402F1286ED28F2EB4CE5DF084D1106CD83390B1A	proof_reconciliation	623
3F54616B5ED7916368AAD5C495A531CCEB62CDE0CA904E64658433B00E99FA44	proof_reconciliation	627
9D1C016FA2E378D6CB6A1FD7BFFE2942AC307DBD2B040B6F16AFF4C53C9D0053	proof_reconciliation	629
2C27C6F519343719C512084FD5AAF68DA941BBB46C24E94714680D542B1FEC47	cluster_matrix	167
77EB5D570D96CA3C19DCC7F2DFB5259832921295F3278273C2A8F29CEDC73A60	cluster_matrix	167
D4E2FBF893188198CC035634EB9AE8F16AE5476F64647BB07CC8870BD285074D	cluster_matrix	173
A3C1F5F19D792058D6D17D91867ECC0E9AD6947B95394E328B4401F30DB94AA5	cluster_matrix	211
378B2DDC36BFD1C71598CDA07F3C669C9853002F20F67FE5F8174D1393389757	cluster_matrix	212
864AB93DE457C49DBE009EF94AB2A69DC3D60E6242D8F54E0568AE882C72D550	cluster_matrix	213
C44274032B76CF92901E2DB8A69E38EB004C53608CB4144451A6B0D718A3A209	broker_claim_cluster	BC-G2-P10
