row_id	normative_claim	production_caller	producer_branch	phase	transport	result	body_behavior	residue	agent_custody	existing_proof	missing_dimensions	shared_mechanism	test_doubles	classification	mechanism_group	ledger_line	authority_locator
E01_Race_RecordCas	Same-revision Record/Record serializes one new event; changed body conflicts; exact retry returns stored binding.	Program → RawSourceConsentEndpoints.Record → RawSourceConsentApplicationService → RawSourceRetentionGateway	tagekyc.raw_source_record_consent_reference	pre-Completed administrative Record	authenticated JSON → PostgreSQL	Bound/Replay/Conflict/Denied	no raw body; closed JSON only	exact reference head/event/binding graph; denial zero new rows	none	none	no controlled Record/Record CAS race	reference advisory X lock + recorder shared lock + operation CAS + post-lock clock	synthetic non-patient session/grant as precondition; real SQL and two PG connections for race	TEST_EXTENSION	E01_RECORD	9	reconciliation row 9; companion contract
E01_Race_IssueWithdrawal	Retained R20 Issue and reference withdrawal serialize; withdrawal-first mints no permit/capability/R1, issue-first is invalidated at next checkpoint.	R20 Issue/Replace application → retained issuance gateway/SQL	tagekyc.raw_source_issue_retention_authority and withdrawal/checkpoint resolver	retained permit issuance before Completed	existing R20 HTTP/Application → PostgreSQL	Granted/Replay/Denied/Conflict; later checkpoint denial	no raw body at Issue; R1 denial before raw read	permit + exactly two classes + capability atomically or zero new rows	no new raw lease from denied R1	none	no Issue/Withdraw two-order race	reference shared/exclusive lock + Recorder authority + post-lock horizon + exact classes	synthetic owned session/profile/grant preconditions; actual R20 SQL and PG locks	TEST_EXTENSION	E01_ISSUE	10	reconciliation row 10; companion contract
E01_UpdateDoesNotReviveBinding	Updated reference head invalidates old-revision binding for new permit while exact historic replay remains a receipt only.	Program → RawSourceConsentEndpoints.Record → RawSourceConsentApplicationService → RawSourceRetentionGateway	tagekyc.raw_source_record_consent_reference	pre-Completed administrative Record	authenticated JSON → PostgreSQL	Bound/Replay/Conflict/Denied	no raw body; closed JSON only	exact reference head/event/binding graph; denial zero new rows	none	none	withdrawn-reference replay is related but no update/old-binding replay proof	reference advisory X lock + recorder shared lock + operation CAS + post-lock clock	synthetic non-patient session/grant as precondition; real SQL and two PG connections for race	TEST_EXTENSION	E01_RECORD	13	reconciliation row 13; companion contract
E01_RevisionInvalidationReachesEveryCheckpoint	Updated/Withdrawn reference invalidates old permit at R1/R3/R4/R5/C1/C3.	R1/R3/R4/R5/C1/C3 retained-source checkpoints	raw_source_resolve_retention_authority / checkpoint SQL	custody/export checkpoint	PostgreSQL within existing stage transaction	authority-valid or typed denial	denial before new raw/provider read	preserve prior ciphertext/stage; no new unauthorized stage	existing Agent lease authority unchanged	none	withdrawal checkpoint tests do not establish updated-revision invalidation at every R1/R3/R4/R5/C1/C3 point	owned session prefix + shared reference lock + latest-head exact revision	synthetic fixture only creates prior valid reference; checkpoint and withdrawal are real	TEST_EXTENSION	E01_CHECKPOINT	15	reconciliation row 15; companion contract
E01_RecorderRevocationRacesRecord	Recorder authority revocation and E01 Record serialize; revoked-before-record cannot commit a binding.	Program → RawSourceConsentEndpoints.Record → RawSourceConsentApplicationService → RawSourceRetentionGateway	tagekyc.raw_source_record_consent_reference	pre-Completed administrative Record	authenticated JSON → PostgreSQL	Bound/Replay/Conflict/Denied	no raw body; closed JSON only	exact reference head/event/binding graph; denial zero new rows	none	none	no controlled recorder-revoke/Record interleaving	reference advisory X lock + recorder shared lock + operation CAS + post-lock clock	synthetic non-patient session/grant as precondition; real SQL and two PG connections for race	TEST_EXTENSION	E01_RECORD	16	reconciliation row 16; companion contract
E01_DdlGraphAndAcl	Five E01 tables, graph constraints, exact actor/client/session lineage and ACL reject incomplete/foreign/direct writes.	E01 Record/Withdraw and R20 Issue	E01 table constraints, deferred graph triggers, ACL	graph commit	PostgreSQL	commit or named constraint/ACL denial	no raw body	exact five-table graph or transaction rollback	none	none	as one closed graph/ACL matrix; `E01_RecordSqlCommitsRealGraph` and `E01_CrossClientBindingMutationRejects` prove subsets in `Tip88C1C6BA3ConsentRetentionTests.cs`	composite FK + lineage trigger + actor-local write context	direct DML probe is intentional adversarial input, not replacement for trigger	TEST_EXTENSION	E01_GRAPH	19	reconciliation row 19; companion contract
E01_Record_PostLockRecorderExpiry	Record samples database clock after reference lock; recorder expiry during wait denies with zero new graph rows.	Program → RawSourceConsentEndpoints.Record → RawSourceConsentApplicationService → RawSourceRetentionGateway	tagekyc.raw_source_record_consent_reference	pre-Completed administrative Record	authenticated JSON → PostgreSQL	Bound/Replay/Conflict/Denied	no raw body; closed JSON only	exact reference head/event/binding graph; denial zero new rows	none	none	no real post-lock recorder expiry case	reference advisory X lock + recorder shared lock + operation CAS + post-lock clock	synthetic non-patient session/grant as precondition; real SQL and two PG connections for race	TEST_EXTENSION	E01_RECORD	21	reconciliation row 21; companion contract
E01_Record_PostLockSourceExpiry	Record samples database clock after lock; source interval expiry during wait denies with zero new graph rows.	Program → RawSourceConsentEndpoints.Record → RawSourceConsentApplicationService → RawSourceRetentionGateway	tagekyc.raw_source_record_consent_reference	pre-Completed administrative Record	authenticated JSON → PostgreSQL	Bound/Replay/Conflict/Denied	no raw body; closed JSON only	exact reference head/event/binding graph; denial zero new rows	none	none	no real post-lock source expiry case	reference advisory X lock + recorder shared lock + operation CAS + post-lock clock	synthetic non-patient session/grant as precondition; real SQL and two PG connections for race	TEST_EXTENSION	E01_RECORD	22	reconciliation row 22; companion contract
E01_Issue_PostLockRecorderAndSourceExpiry	Retained R20 Issue samples post-lock clock for recorder and source in distinct expiry races; denial mints no permit/classes/capability.	R20 Issue/Replace application → retained issuance gateway/SQL	tagekyc.raw_source_issue_retention_authority and withdrawal/checkpoint resolver	retained permit issuance before Completed	existing R20 HTTP/Application → PostgreSQL	Granted/Replay/Denied/Conflict; later checkpoint denial	no raw body at Issue; R1 denial before raw read	permit + exactly two classes + capability atomically or zero new rows	no new raw lease from denied R1	none	R20 Replace/source expiry test is not the required two-case Issue proof	reference shared/exclusive lock + Recorder authority + post-lock horizon + exact classes	synthetic owned session/profile/grant preconditions; actual R20 SQL and PG locks	TEST_EXTENSION	E01_ISSUE	23	reconciliation row 23; companion contract
E01_ExactBothClassesRequired	Profile and SQL issuance require exactly DG2 and selfie class rows; one-class permit cannot commit.	R20 Issue/Replace application → retained issuance gateway/SQL	tagekyc.raw_source_issue_retention_authority and withdrawal/checkpoint resolver	retained permit issuance before Completed	existing R20 HTTP/Application → PostgreSQL	Granted/Replay/Denied/Conflict; later checkpoint denial	no raw body at Issue; R1 denial before raw read	permit + exactly two classes + capability atomically or zero new rows	no new raw lease from denied R1	none	as one exact DG2+selfie readiness/SQL issuance mutation; completion selection test covers only a later stage	reference shared/exclusive lock + Recorder authority + post-lock horizon + exact classes	synthetic owned session/profile/grant preconditions; actual R20 SQL and PG locks	TEST_EXTENSION	E01_ISSUE	24	reconciliation row 24; companion contract
