"id"	"repo"	"path"	"sha256"	"total"	"passed"	"failed"	"skipped"	"failing_tests"	"first_assertion_or_exception"	"classification"	"classification_source"	"successor_trx"	"reason"
"P04FR0001"	"server"	"TestResults/a1-binding-derived-session/a1-binding-derived-session-r2.trx"	"554AEDF843FCCE4DFDDF993D36EAE87B0F3B49204B5BB506EDC730D093F0F5D4"	"67"	"66"	"1"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1RotationTests.Rotation_DualProofAtomicCutoverAndSameRouteReplay"	"NOT_READY"	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0002"	"server"	"TestResults/a1-binding-derived-session/a1-binding-derived-session.trx"	"D828C4105B31C52C9D1D19C6D538DEE4E033C1A682BE056AA3CB1FECCAE0B0C8"	"61"	"58"	"3"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1AppendAuthorityTests.SevenArgumentHelper_DerivesSession_AndHasNoOldOverloadOrTableGrant; TagEkyc.IntegrationTests.Tip88C1C6BA1AppendAuthorityTests.BothDiscoveredLockKeys_AreRechecked_WithExecutableRedControl(column: ""VerificationSessionId"", local: ""discovered_session_id""); TagEkyc.IntegrationTests.Tip88C1C6BA1AppendAuthorityTests.BothDiscoveredLockKeys_AreRechecked_WithExecutableRedControl(column: ""CaptureCapabilityId"", local: ""discovered_capability_id"")"	"Npgsql.PostgresException : 23502: null value in column ""SubjectRef"" of relation ""verification_sessions"" violates not-null constraint DETAIL: Failing row contains (90000000-0000-4000-8000-000000000001, 91000000-0000-4000-8000-000000000001, null, null, null, null, null, null, synthetic-challenge, r, c, Pending, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 2026-09-12 13:54:33.537871+00, null, null)."	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0003"	"server"	"TestResults/a1-global-pepper/a1-global-pepper-r1.trx"	"EF8CA5ADA978872554C93C196117C8C5F05E21762BB7C754F00994533D3C454A"	"85"	"73"	"12"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1PersistenceTests.FoundationMigration_ApplyRollbackReapplyEnforcesAllShapes; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.Foundation_functions_are_security_definer_deployer_owned_and_not_public; TagEkyc.IntegrationTests.Tip88C1C6BA1AppendAuthorityTests.Exact47Manifest_RejectsOldOverloadAndMissingNewIdentity; TagEkyc.IntegrationTests.Tip88C1C6BA1StartupReadinessDiagnosticTests.RequiredPepperVersions_Parity_AllBranchesHaveIndependentRedControls; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.CapabilityRolePreflight_RejectsBothMembershipDirectionsWithoutRepair; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.Public_entrypoints_have_an_explicit_single_capability_role_or_the_frozen_dual_runtime_grant; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.DatabaseAcl_ExactOwnersGranteesNoTableDmlAndSafeDown; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.Stage1_internal_helpers_are_callable_only_by_their_exact_roles; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.Owner_role_identity_and_acl_negative_controls_are_discriminating; TagEkyc.IntegrationTests.Tip88C1C6BA1AppendAuthorityTests.BothDiscoveredLockKeys_AreRechecked_WithExecutableRedControl(column: ""CaptureCapabilityId"", local: ""discovered_capability_id""); TagEkyc.IntegrationTests.Tip88C1C6BA1AppendAuthorityTests.SevenArgumentHelper_DerivesSession_AndHasNoOldOverloadOrTableGrant; TagEkyc.IntegrationTests.Tip88C1C6BA1AppendAuthorityTests.BothDiscoveredLockKeys_AreRechecked_WithExecutableRedControl(column: ""VerificationSessionId"", local: ""discovered_session_id"")"	"Assert.Equal() Failure: Collections differ ↓ (pos 30) Expected: [···, ""tagekyc.capture_runtime_publish_trust_profile(uuid""···, ""tagekyc.capture_runtime_reactivate(uuid, uuid, uui""···, ""tagekyc.capture_runtime_read_cutover_state(text,ti""···, ""tagekyc.capture_runtime_read_readiness(uuid, times""···, ""tagekyc.capture_runtime_reconcile_binding(uuid, uu""···, ···] Actual: [···, ""tagekyc.capture_runtime_publish_trust_profile(uuid""···, ""tagekyc.capture_runtime_reactivate(uuid, uuid, uui""···, ""tagekyc.capture_runtime_read_cutover_state(text, t""···, ""tagekyc.capture_runtime_read_readiness(uuid, times""···, ""tagekyc.capture_runtime_reconcile_binding(uuid, uu""···, ···] ↑ (pos 30)"	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0004"	"server"	"TestResults/a1-global-pepper/a1-global-pepper-r2.trx"	"CB7D40610BE5D6BAE7DDFC55E7074FBFAF37F8123B67C4B7C45E121D3EE17130"	"88"	"84"	"4"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1StartupReadinessDiagnosticTests.R28_GlobalProjection_DoesNotRequireRuntime_AndR19KeepsAbsentSelectorBehavior; TagEkyc.IntegrationTests.Tip88C1C6BA1StartupCompositionTests.RealReader_ThreeRestrictedLogins_PreparedPasses_ActivatedRequiresAdmissionAndReadiness; TagEkyc.IntegrationTests.Tip88C1C6BA1RuntimeAppendTransactionTests.R24_FaultAfterActualWrite_RollsBackArtifactIdempotencyAndAudit; TagEkyc.IntegrationTests.Tip88C1C6BA1RuntimeAppendTransactionTests.R24R25_RealHelperPlannerWriter_CommitTogether_AndMismatchDoesNotWrite"	"Assert.Equal() Failure: Values differ Expected: 0 Actual: 38"	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0005"	"server"	"TestResults/a1-principal-stage1/a1-principal-arch.trx"	"61EA2EBC4A8D5BB6C9DCA7A62646A2A525E01BE74CF5CCD27CD9A2A296BD2635"	"150"	"148"	"2"	"0"	"TagEkyc.ArchTests.Tip88C1C5RecipientManagementArchTests.C527_model_snapshot_tripwires_are_platform_independent_and_lockstep; TagEkyc.ArchTests.Tip88C1B2R2DurableCustodyEncryptionArchTests.R2A4_no_production_raw_source_registration_or_runtime_activation_is_added"	"OBSERVED_RED:C527-THREE-TRIPWIRE-LOCKSTEP; details=C527-THREE-TRIPWIRE-LOCKSTEP: observed=sha=945FD9C6028CE3B310891F21FF3F20E033928CA8C88CDD3DEBAB09F551C7B92E;count=0"	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0006"	"server"	"TestResults/a1-principal-stage1/a1-stage1-principal-02.trx"	"4DBC61F7A8ABEA842A2B6A53541CE41DF7837C9831802427AB48559A7ADDE5CB"	"9"	"8"	"1"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1PersistenceTests.R01R02Replay_UsesDurableOperationFingerprintAndFrozenResult"	"Assert.All() Failure: 2 out of 2 items in the collection did not pass. [0]: Item: ""c6ba_root_provision_platform_credential:CREATE OR ""··· Error: Assert.Contains() Failure: Sub-string not found String: ""c6ba_root_provision_platform_credential:C""··· Not found: ""ResultCode"" [1]: Item: ""c6ba_root_revoke_platform_credential:CREATE OR REP""··· Error: Assert.Contains() Failure: Sub-string not found String: ""c6ba_root_revoke_platform_credential:CREA""··· Not found: ""ResultCode"""	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0007"	"server"	"TestResults/a1-principal-stage1/a1-stage1-principal-03.trx"	"BC012A72A074EEE78390BF0395267D2C4E4C5C945B7EDFF8507C410D13BFF2B3"	"9"	"8"	"1"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1PersistenceTests.FoundationMigration_ApplyRollbackReapplyEnforcesAllShapes"	"System.FormatException : Input string was not in a correct format. Failure to parse near offset 2468. Expected an ASCII digit."	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0008"	"server"	"TestResults/a1-principal-stage1/a1-stage1-principal.trx"	"CE661A4A5E77634864B797523C60FFBEF16CF0F072A2E4769415F06E01E75B87"	"9"	"0"	"9"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.Owner_role_identity_and_acl_negative_controls_are_discriminating; TagEkyc.IntegrationTests.Tip88C1C6BA1PersistenceTests.R01R02Replay_UsesDurableOperationFingerprintAndFrozenResult; TagEkyc.IntegrationTests.Tip88C1C6BA1PersistenceTests.FoundationMigration_ApplyRollbackReapplyEnforcesAllShapes; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.DatabaseAcl_ExactOwnersGranteesNoTableDmlAndSafeDown; TagEkyc.IntegrationTests.Tip88C1C6BA1PersistenceTests.Foundation_catalogue_contains_the_lineage_event_and_expiry_guards; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.Foundation_functions_are_security_definer_deployer_owned_and_not_public; TagEkyc.IntegrationTests.Tip88C1C6BA1PersistenceTests.Stage1_internal_authority_helpers_have_closed_shapes_and_null_safe_rotation_candidates; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.Stage1_internal_helpers_are_callable_only_by_their_exact_roles; TagEkyc.IntegrationTests.Tip88C1C6BA1AclTests.Public_entrypoints_have_an_explicit_single_capability_role_or_the_frozen_dual_runtime_grant"	"System.InvalidOperationException : docker compose failed with exit code 1. unable to get image 'postgres:16': failed to connect to the docker API at npipe:////./pipe/dockerDesktopLinuxEngine; check if the path is correct and if the daemon is running: open //./pipe/dockerDesktopLinuxEngine: The system cannot find the file specified."	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0009"	"server"	"TestResults/a1-r26-correction/a1-v5-r1.trx"	"F85C8175019F272D9DCD41B08A945B5DB54B3DF79B1A967B6EDD9C509317BDD8"	"124"	"123"	"1"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1CancellationHttpTests.R26_InternalFingerprintCorruption_IsNotCallerConflictAndCreatesNoReplayRows"	"Npgsql.PostgresException : P0001: TIP88C1C6BA_APPEND_ONLY"	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
"P04FR0010"	"server"	"TestResults/a1-r26-correction/a1-v8.trx"	"69B1CEE0F31E834E97D81C6D2701E11CDA52BCF130E9DAD0495DF74A564CE826"	"139"	"126"	"13"	"0"	"TagEkyc.IntegrationTests.Tip88C1C6BA1LifecycleRaceTests.IssuanceReplay_OverlapsRevocation_WithoutResurrectionOrFalseNotFound(rotation: True); TagEkyc.IntegrationTests.Tip88C1C6BA1LifecycleRaceTests.CredentialRevoke_ConcurrentRotation_BothSerialOrdersHaveOneWinner(revokeFirst: False); TagEkyc.IntegrationTests.Tip88C1C6BA1NormativeSqlProofTests.CompleteNormativeSqlFences_ExecuteAgainstCurrentMigration_AndLeaveNoSharedResidue(family: ""core_identity""); TagEkyc.IntegrationTests.Tip88C1C6BA1NormativeSqlProofTests.CompleteNormativeSqlFences_ExecuteAgainstCurrentMigration_AndLeaveNoSharedResidue(family: ""expiry""); TagEkyc.IntegrationTests.Tip88C1C6BA1LifecycleRaceTests.RotationExpiry_ConcurrentRevoke_HasOneTerminalPairAndFrozenDenial(expiryFirst: True); TagEkyc.IntegrationTests.Tip88C1C6BA1LifecycleRaceTests.BindConcurrentReplayOrReplace_OneBindingNoSuccessor(replace: False); TagEkyc.IntegrationTests.Tip88C1C6BA1TransitionCoverageTests.CapabilityReplace_WrongRevisionAndBoundDeny_SecondRuntimeCannotTakeOver; TagEkyc.IntegrationTests.Tip88C1C6BA1CanonicalDdlProjectionTests.CanonicalDdl_IndependentExpectedSchema_ExactColumnsConstraintsIndexes_ThreeMutationsAreRed; TagEkyc.IntegrationTests.Tip88C1C6BA1LifecycleRaceTests.CredentialRevoke_ConcurrentRotation_BothSerialOrdersHaveOneWinner(revokeFirst: True); TagEkyc.IntegrationTests.Tip88C1C6BA1RuntimeAppendTransactionTests.A1_23_RealCrt1NonceCommits_BAuditFailureRollsBackOnlyAppend; TagEkyc.IntegrationTests.Tip88C1C6BA1NormativeSqlProofTests.CompleteNormativeSqlFences_ExecuteAgainstCurrentMigration_AndLeaveNoSharedResidue(family: ""runtime""); TagEkyc.IntegrationTests.Tip88C1C6BA1LifecycleRaceTests.BindConcurrentReplayOrReplace_OneBindingNoSuccessor(replace: True); TagEkyc.IntegrationTests.Tip88C1C6BA1LifecycleRaceTests.RotationExpiry_ConcurrentRevoke_HasOneTerminalPairAndFrozenDenial(expiryFirst: False)"	"Npgsql.PostgresException : 42804: structure of query does not match function result type DETAIL: Returned type integer does not match expected type bigint in column 8."	"EXCLUDED_HISTORICAL_OUTSIDE_SLICE"	"WHOLE_REPO_SWEEP"	""	"Historical failed run is outside the bounded P04/site-qualification slice and is inventoried without being used as current evidence."
