id	path	sha256	total	passed	failed	skipped	failing_tests	first_assertion_or_exception	classification	guard_or_row	successor_trx	exclusion_reason	locator
FR001	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-early-available-red.trx	774144B17E62E0AB4B3A65848354F57BDC041B08F3F2048E6E9DEDA985A281B2	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	Assert.False() Failure Expected: False Actual: True	SUPERSEDED_RED		a3-r2r6-gp-agent-committed-red-v2.trx	Earlier valid RED replaced as current-source evidence by the named successor; do not count twice.	packet#failed-run-audit/FR001;matrix#failed-run-audit/FR001;ledger#failed-run-audit/FR001
FR002	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-kestrel-final-source-red.trx	57DE71AAFE6C362BA9E9498A8F23B530F3FDBD0DEF5AD2A83AC7BC3D238984C0	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	Assert.False() Failure Expected: False Actual: True	SUPERSEDED_RED		a3-r2r6-gp-agent-committed-red-v2.trx	Earlier valid RED replaced as current-source evidence by the named successor; do not count twice.	packet#failed-run-audit/FR002;matrix#failed-run-audit/FR002;ledger#failed-run-audit/FR002
FR003	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-kestrel-r5-red.trx	8CE3324D0ACA2102913BB41BE32338F99F57A54EF98D1A87A60D50097E9D1674	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	Assert.False() Failure Expected: False Actual: True	SUPERSEDED_RED		a3-r2r6-gp-agent-committed-red-v2.trx	Earlier valid RED replaced as current-source evidence by the named successor; do not count twice.	packet#failed-run-audit/FR003;matrix#failed-run-audit/FR003;ledger#failed-run-audit/FR003
FR004	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-p17-kestrel-baseline.trx	F4F9676290C52CD007505758EDFBEF73CB1DBF31F6ECB4A5EC6DDCE9F1B90B0E	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2R6ClusterHttpTests.AvailableHttpResponseWaitsForR5PublicationCommit	Assert.Equal() Failure: Values differ Expected: 0 Actual: 4	EXCLUDED_DIAGNOSTIC			Client stream serialization was mistaken for a server Request.Body read; Expected 0 Actual 4.	packet#failed-run-audit/FR004;matrix#failed-run-audit/FR004;ledger#failed-run-audit/FR004
FR005	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-consumer-final-source-red.trx	90D030F61BF771C0F921BB23DA50BB3D28EB1737BCDFBA648AE3112E80D6F399	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.VerifierRunsOnDurableCiphertextNotRequestBuffer	Assert.Null() Failure: Value is not null Expected: null Actual: "1"	EVIDENCE_RED	G-V / BP16		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR005;matrix#failed-run-audit/FR005;ledger#failed-run-audit/FR005
FR006	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-consumer-red.trx	01FA1B5CD2D6BF0FE734376F1A8B8D99B74719E5E9CBBF78A7E3AD96CC13A497	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.VerifierRunsOnDurableCiphertextNotRequestBuffer	Assert.Null() Failure: Value is not null Expected: null Actual: "1"	SUPERSEDED_RED		a3-r2r6-bp16-consumer-final-source-red.trx	Earlier valid RED replaced as current-source evidence by the named successor; do not count twice.	packet#failed-run-audit/FR006;matrix#failed-run-audit/FR006;ledger#failed-run-audit/FR006
FR007	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-selector-red.trx	CB5E2579A4E3FA37FD0673530C43D242E225061E9EEFB560F8329595BB5AB177	1	0	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.VerifierRunsOnDurableCiphertextNotRequestBuffer	Assert.Equal() Failure: Values differ Expected: VerifyIncompleteObject Actual: None	EVIDENCE_RED	G-V exact-object selection / BP16		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR007;matrix#failed-run-audit/FR007;ledger#failed-run-audit/FR007
FR008	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp17-ciphertext-baseline.trx	255C6D30D0614A683B143D1B3453F720CEBA8D86B854D5F2582D29CB2931B8F9	2	1	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.CiphertextFailureIsNotProducerMismatch(tamper: True)	Amazon.S3.AmazonS3Exception : Access Denied. ---- Amazon.Runtime.Internal.HttpErrorResponseException : Exception of type 'Amazon.Runtime.Internal.HttpErrorResponseException' was thrown.	EXCLUDED_DIAGNOSTIC			S3 Access Denied in tamper precondition: cleanup credential lacked object-read capability.	packet#failed-run-audit/FR008;matrix#failed-run-audit/FR008;ledger#failed-run-audit/FR008
FR009	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp17-ciphertext-cause-red.trx	E9510C017188B4B080895B7D0D8177ED6D3BAF7E399BC145F4D0FEAFA9AF7516	2	1	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.CiphertextFailureIsNotProducerMismatch(tamper: True)	System.InvalidOperationException : RAW_INGRESS_CONTINUATION_NOT_READY	EVIDENCE_RED	G-T verification-failure cause / BP17 CiphertextFailure		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR009;matrix#failed-run-audit/FR009;ledger#failed-run-audit/FR009
FR010	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp21-four-evidence-final-source-red.trx	393D382B439CA26F55D4E5D0DF6D8AB1530819C0D61DF1FE236F397A6A7001F2	4	1	3	0	TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "active-key"); TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "provider-unknown"); TagEkyc.IntegrationTests.Tip88C1C6BA3R2TerminalProjectionTests.ProviderEvidenceCannotMasqueradeAsNoStart(evidence: "preparation")	Npgsql.PostgresException : P0001: RAW_EXPORT_SOURCE_CORE_APPEND_ONLY	EVIDENCE_RED	G-N NPS conjunction / BP21 ProviderEvidence		Reached targeted guard; count only within the stated bounded proof.	packet#failed-run-audit/FR010;matrix#failed-run-audit/FR010;ledger#failed-run-audit/FR010
