Family	RowId	AuthoritySource	CurrentGap	Decision	ImplementationExit
PROVIDER_UNKNOWN_SEMANTICS	BP17 ProviderUnknownDoesNotInventInputMismatch	tip_88c1_c6b_a3_broker_pipeline_contract_v0_5.md §4.5	Provider-unknown public projection is not joined to complete-vs-incomplete durable ciphertext	AWAIT_HOMEOWNER_SCOPE_DECISION	Complete inspection maps O21; incomplete/unknown maps O18; O19 is impossible; targeted cause-precedence mutation RED
NO_PRODUCTION_EMITTER	P03 A3_S02_O03_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.0 and broker composition dispatch v0.6 O03	Contract/mapper exist but ingress broker graph has no production origin	AWAIT_HOMEOWNER_SCOPE_DECISION	P1 ownership/authority producer emits exact non-enumerating O03 before body with zero residue
NO_PRODUCTION_EMITTER	P04 A3_S02_O04_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.0 and broker composition dispatch v0.6 O04	Contract/mapper exist but ingress broker graph has no production origin	AWAIT_HOMEOWNER_SCOPE_DECISION	P0–P4 transport signal follows authentication precedence and exact phase residue without consuming artifact bytes
NO_PRODUCTION_EMITTER	P05 A3_S02_O05_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.0 and broker composition dispatch v0.6 O05	Contract/mapper exist but ingress broker graph has no production origin	AWAIT_HOMEOWNER_SCOPE_DECISION	Pre-begin and active-key capability producers have distinct exact residue and restored-capability retry
PHASE_REACHABILITY	P12 A3_S02_O12_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.0 O12	Producer exists but current order collapses the required P3 condition into an earlier denial	AWAIT_HOMEOWNER_SCOPE_DECISION	Exact P3 evaluation-in-progress producer is reachable with RetryNotBeforeUtc and no new custody
PHASE_REACHABILITY	P13 A3_S02_O13_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.0 O13	Producer exists but current lock/order prevents the exact P3 token-invalid projection	AWAIT_HOMEOWNER_SCOPE_DECISION	Exact P3 token-invalid producer is reachable, bodyless, non-retryable for same token and residue-preserving
ASSEMBLY_CALLER_SCOPE	P29 A3_S02_O29_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.2 priority 3; composition dispatch v0.6 O29	Assembly is disabled in production and no shipping caller reaches the component	AWAIT_HOMEOWNER_SCOPE_DECISION	Production assembly command reaches both authority barriers and emits O29 with exact B4 residue
ASSEMBLY_CALLER_SCOPE	P30 A3_S02_O30_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.2 priority 6; composition dispatch v0.6 O30	No production caller; current component returns broad SourceUnavailable	AWAIT_HOMEOWNER_SCOPE_DECISION	Zero eligible candidates emits exact O30 before binding/provider read
ASSEMBLY_CALLER_SCOPE	P31 A3_S02_O31_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.2 priority 7; composition dispatch v0.6 O31	No production caller and current uniqueness prevents an exact ambiguous producer	AWAIT_HOMEOWNER_SCOPE_DECISION	More than one eligible candidate is representable and emits exact O31 without mutation/provider read
ASSEMBLY_CALLER_SCOPE	P32 A3_S02_O32_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.2 priority 9/15; composition dispatch v0.6 O32	Replay/fingerprint component exists but no approved production selection-conflict adapter	AWAIT_HOMEOWNER_SCOPE_DECISION	Frozen binding substitution/conflict emits exact O32 and preserves existing mapping
ASSEMBLY_CALLER_SCOPE	P33 A3_S02_O33_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.2 priority 8; composition dispatch v0.6 O33	Selected-unavailable component exists but no production caller	AWAIT_HOMEOWNER_SCOPE_DECISION	Frozen unavailable source emits exact O33 before assembly/provider read
ASSEMBLY_CALLER_SCOPE	P34 A3_S02_O34_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.2 priority 10; composition dispatch v0.6 O34	Current read failures collapse to broad VerificationIndeterminate	AWAIT_HOMEOWNER_SCOPE_DECISION	Integrity mismatch emits exact O34 with owned quarantine/corruption evidence
ASSEMBLY_CALLER_SCOPE	P35 A3_S02_O35_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.2 priority 13; composition dispatch v0.6 O35	C2 failures collapse to broad conflict/unavailable/unknown	AWAIT_HOMEOWNER_SCOPE_DECISION	Prepare failure emits exact O35, records exact abort disposition and creates no assembly identity
ASSEMBLY_CALLER_SCOPE	P36 A3_S02_O36_ExactOutcomeShapeStatusAndResidue	tip_88c1_planning_brief.md §10.2 priority 17; composition dispatch v0.6 O36	Orchestrator derives items from frozen bindings so mismatch is not naturally representable	AWAIT_HOMEOWNER_SCOPE_DECISION	Ordered class-set mismatch is representable and emits exact O36 without seal/assembly identity
