id	path	sha256	total	passed	failed	skipped	failing_tests	first_assertion_or_exception	classification	guard_or_row	successor_trx	exclusion_reason	locator
BCFR001	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-baseline.trx	BF45EB9EB706F5D5C4166242221A3C3447A763C6121190546E77C453EBAA38D1	7	5	2	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O16", expectedCode: "RAW_EXPORT_SOURCE_RESERVATION_BUSY"); TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	Assert.Equal() Failure: Collections differ ↓ (pos 0) Expected: ["alias:{\"AliasState\": \"Bound\", \"ProducerId\": "···, "attempt:{\"Fence\": 1, \"KekId\": \"fixture-kek-v1"···, "claim:{\"RawClass\": \"LiveSelfieImage\", \"ClaimS"···, "head:{\"Fence\": 1, \"CustodyState\": \"Reserved\""···, "reservation:{\"MediaType\": \"image/jpeg\", \"Crea"···, ···] Actual: ["alias:{\"AliasState\": \"Bound\", \"ProducerId\": "···, "attempt:{\"Fence\": 1, \"KekId\": \"fixture-kek-v1"···, "claim:{\"RawClass\": \	EXCLUDED_DIAGNOSTIC			Shared positive-control harness used the wrong withdrawal producer for O13 and overconstrained O16 alias evaluation metadata; this run is not product or mutation evidence.	a3_broker_claim_cluster_execution_matrix_v1.md BC-A/BC-B
BCFR002	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-restored-baseline.trx	4D6B904E349D23AA4211071E5E5E93CF7CBF77F929809019061EF57C118F41D3	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	Npgsql.PostgresException : P0001: RAW_EXPORT_SUBJECT_CONSENT_AUTHORITY_DENIED	EXCLUDED_DIAGNOSTIC			O13 fixture invoked the production B2 withdrawal repository without first granting the SubjectConsentWithdrawer authority; failure occurred while arranging the pre-state, before the transport assertion.	a3_broker_claim_cluster_execution_matrix_v1.md BC-A
BCFR003	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-positive-controls.trx	0E6FE742C40F7D910A20C204056AD5E565D7D308BC9E7A0EA1D4D4CD04CD5800	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	Npgsql.PostgresException : P0001: RAW_EXPORT_CONSENT_REVISION_CONFLICT	EXCLUDED_DIAGNOSTIC			O13 fixture granted the withdrawer but attempted the B2 withdrawal without first creating the B2 Granted event whose exact revision is the withdrawal target; failure remained in pre-state arrangement.	a3_broker_claim_cluster_execution_matrix_v1.md BC-A
BCFR004	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-positive-controls-v2.trx	32AD552176974A81EB3EEE661BFE7F451C7D3DB996526365D7085518D8B032AC	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	Npgsql.PostgresException : P0001: RAW_EXPORT_SUBJECT_CONSENT_SESSION_NOT_COMPLETED	EXCLUDED_DIAGNOSTIC			O13 fixture reached the production B2 grant but had not transitioned the seeded verification session to Completed; failure occurred before withdrawal and transport assertions.	a3_broker_claim_cluster_execution_matrix_v1.md BC-A
BCFR005	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-positive-controls-v3.trx	1884B4C7AC0CC1771A2A1D097AD0FCF8DA8916C8168A0F3429A713CE4DE9A34F	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "SOURCE_RETENTION_NOT_AUTHORIZED" Actual: "RAW_EXPORT_SOURCE_BINDING_INVALID" ↑ (pos 0)	EXCLUDED_DIAGNOSTIC			The completed B2 grant/withdrawal arrangement reached the public transport and revealed a real O12 producer: the withdrawal advances the consent reference and makes the existing binding stale. The scenario was mislabeled O13 and is replaced by the O12 case; O13 uses pre-B-B authority expiry.	a3_broker_claim_cluster_execution_matrix_v1.md BC-A/BC-C
BCFR006	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-positive-controls-v4.trx	EF2882D73E9EFD5955FD6FBA9BCAE65276AB54244BCF9F2741DB05CFCC39D23E	8	6	2	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O12", expectedCode: "RAW_EXPORT_SOURCE_CLAIM_RESTART_REQUIRED"); TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	Assert.Equal() Failure: Strings differ ↓ (pos 18) Expected: "RAW_EXPORT_SOURCE_CLAIM_RESTART_REQUIRED" Actual: "RAW_EXPORT_SOURCE_BINDING_INVALID" ↑ (pos 18)	EXCLUDED_DIAGNOSTIC			Both pre-B-B permit expiry and B2 withdrawal fail at the earlier bound-reader gate as O02 BindingInvalid. They are not valid O13/O12 producers. P12 remains a reachability blocker; O13 moves to the deterministic B1 provider barrier so authority is withdrawn after B-B and before B-C.	a3_broker_claim_cluster_execution_matrix_v1.md BC-A/BC-C/BC-G3/BC-G5
BCFR007	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-b1-positive-controls.trx	CB56D0FA56AAF434961678B34E9881BCFF1551C8A04BD618CC1EA5669987A560	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	TagEkyc.CaptureAgent.Core.CaptureAgentFlowException : NOT_READY	EXCLUDED_DIAGNOSTIC			The B1 barrier and E01 withdrawal completed, but the endpoint converted an unobserved server exception to its fail-closed 503 NOT_READY envelope. This diagnostic cannot establish O13 until the unchanged production admission exception is recorded.	a3_broker_claim_cluster_execution_matrix_v1.md BC-C/BC-G5
BCFR008	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-b1-observed.trx	311E30095B7ED033C5AFCD8E0AB7652A23607113BFBFB680ED843B58A59213EE	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	System.InvalidOperationException : O13_SERVER_EXCEPTION:System.Threading.Tasks.TaskCanceledException:A task was canceled. ---- System.Threading.Tasks.TaskCanceledException : A task was canceled.	EXCLUDED_DIAGNOSTIC			The unchanged admission observer identified the prior 503 as the broker fixture's one-second request deadline expiring while the real withdrawal committed at B1. The successor uses the existing extended qualified timing profile; no product outcome or guard is changed.	a3_broker_claim_cluster_execution_matrix_v1.md BC-C/BC-G5
BCFR009	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-family-b1-final-positive.trx	FEAD13D083FE23FA6BC11C3B48513905A945D8473C043115AB35A801B5EBD820	7	6	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O13", expectedCode: "SOURCE_RETENTION_NOT_AUTHORIZED")	System.InvalidOperationException : O13_SERVER_EXCEPTION:System.Threading.Tasks.TaskCanceledException:A task was canceled. ---- System.Threading.Tasks.TaskCanceledException : A task was canceled.	EXCLUDED_DIAGNOSTIC			Even under the existing six-second qualified timing profile, E01 withdrawal cannot commit while B holds the consent-reference shared lock; broker and withdrawal serialize rather than exposing a B1 authority-loss interleaving. P13 is classified as a reachability/semantic blocker, not retried with a larger timeout.	a3_broker_claim_cluster_execution_matrix_v1.md BC-C/BC-G5
BCFR010	server/tests/TagEkyc.IntegrationTests/TestResults/a3-broker-claim-p10-retry-time-red.trx	D4BE10ABDD04CCAEA7C319A58583F0FD45BE1F674735C7AF852C9371C10CD616	6	5	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerClaimClusterTests.BrokerClaimFinalsTraverseSharedKestrelAgentWithoutReadingBody(row: "O10", expectedCode: "RAW_EXPORT_SOURCE_CLAIM_EVALUATION_IN_PROGRESS")	Assert.Equal() Failure: Values differ Expected: 2026-09-19T08:07:18.7968640+00:00 Actual: 2026-09-19T08:07:08.9350590+00:00	SUPERSEDED_RED		a3-broker-claim-p10-retry-time-final-source-red.trx		a3_broker_claim_cluster_execution_matrix_v1.md BC-A/BC-G2
