Id	Path	Sha256	Total	Passed	Failed	Skipped	FailingTest	FirstAssertionOrException	Classification	GuardOrRow	SuccessorTrx	ExclusionReason	Locator
EFFR001	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-attempt-a1.trx	6F4F5B9F517305B49694A8842E309FC5D650F3CD12953F7EE4845A01C5FAD6B7	1	0	1	0	ExpectFence_DurableR1PrecedesAgentSerializationAndFirstServerRead	InvalidOperationException docker compose failed: Docker Desktop Linux engine pipe unavailable	EXCLUDED_DIAGNOSTIC	NONE	NONE	PostgreSQL fixture bootstrap failed before any business assertion; next attempt passed once Docker Engine was available.	a3_transport_expect_fence_execution_matrix_v1.md#f0-execution-checkpoint-not-a-review-packet
EFFR002	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-agent-no-expect-mutation.trx	CDB697206CAC437BD1EEC7E2833D0D7C57C6F905E3C466A9B251FEC9EE6919AC	1	0	1	0	ExpectFence_DurableR1PrecedesAgentSerializationAndFirstServerRead	Assert.Equal failure Expected 0 Actual 1 at pre-commit Agent serialization	SUPERSEDED_RED	EXPECT-FENCE-AGENT-EXPECT / A3_AgentRawExpectDoesNotSendBeforeCommittedR1	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-final-agent-no-expect-mutation.trx	NONE	a3_transport_expect_fence_execution_matrix_v1.md#f0-execution-checkpoint-not-a-review-packet
EFFR003	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-final-agent-no-expect-mutation.trx	F269341DF8A5D6AB9B38138E05A896AEEE5191C415D0CA0B52BC43F538E478C2	1	0	1	0	ExpectFence_DurableR1PrecedesAgentSerializationAndFirstServerRead	Assert.Equal failure Expected 0 Actual 1 at pre-commit Agent serialization	EVIDENCE_RED	EXPECT-FENCE-AGENT-EXPECT / A3_AgentRawExpectDoesNotSendBeforeCommittedR1	NONE	NONE	a3_transport_expect_fence_execution_matrix_v1.md#f0-execution-checkpoint-not-a-review-packet
EFFR004	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-final-agent-finite-timeout-mutation.trx	F04C9869B11D036831BD63C288BAE15E18767EB01A8A3599C2151B35B28967EC	1	0	1	0	ExpectFence_DurableR1PrecedesAgentSerializationAndFirstServerRead	Assert.Equal failure Expected 0 Actual 1 at pre-commit Agent serialization	EVIDENCE_RED	EXPECT-FENCE-AGENT-INFINITE / BP13 ThreeExpectTransportMutationsFailQualification	NONE	NONE	a3_transport_expect_fence_execution_matrix_v1.md#f0-execution-checkpoint-not-a-review-packet
EFFR005	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-prebuffering-harness-mutation.trx	6E6DAF8DBCC3BF954984AC0A411AB552FB964132BE80FB5F66784D65677A291F	1	0	1	0	ExpectFence_DurableR1PrecedesAgentSerializationAndFirstServerRead	Assert.Equal failure Expected 0 Actual 1 at pre-commit Agent serialization	EVIDENCE_RED	EXPECT-FENCE-PREBUFFER / BP13 ThreeExpectTransportMutationsFailQualification	NONE	Test-only buffering intermediary mutation; demonstrates the F0 probe detects premature serialization but is not a production topology guard mutation.	a3_transport_expect_fence_execution_matrix_v1.md#f0-execution-checkpoint-not-a-review-packet
EFFR006	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-attempt-a1.trx	9474B5AB935EF394A9C6C4C5CA6DE39157A01F1B41AA419AC9282D7BD93E8A09	1	0	1	0	ExpectFence_RolledBackR1NeverReleasesAgentBody	Assert.True failure at rollback probe is_called; trigger side effect was not reached	EXCLUDED_DIAGNOSTIC	EXPECT-FENCE-ROLLBACK / fixture probe	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-attempt-a3.trx	Test-only trigger probe did not establish that the B/R1 insert ran; superseded after changing test function to SECURITY DEFINER.	a3_transport_expect_fence_execution_matrix_v1.md#f1-rollback-discovery-open
EFFR007	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-attempt-a2.trx	C706CA52623FC1ED4B4CE21569E9849BDA9AB7CDB9406DFE0ACF18A97510B5ED	1	0	1	0	ExpectFence_RolledBackR1NeverReleasesAgentBody	Assert.True failure at rollback probe is_called; trigger side effect was not reached	EXCLUDED_DIAGNOSTIC	EXPECT-FENCE-ROLLBACK / invocation	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-attempt-a3.trx	Invocation used --no-build after a test-source edit, so it ran the preceding binary; not a distinct candidate result.	a3_transport_expect_fence_execution_matrix_v1.md#f1-rollback-discovery-open
EFFR008	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-attempt-a3.trx	38C6E4A701D52AB86607D76479FCA1385B7A56BB36FC84A74AC9484B468A0E2C	1	0	1	0	ExpectFence_RolledBackR1NeverReleasesAgentBody	Assert.Equal failure Expected 0 Actual 1 at Agent content serialization after confirmed B/R1 trigger and rollback	SUPERSEDED_RED	EXPECT-FENCE-ROLLBACK / Agent serialization with no committed R1	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-final-discovery.trx	Superseded by current-source write-diagnostic that proves the entire content copy completed with no committed R1.	a3_transport_expect_fence_execution_matrix_v1.md#f1-rollback-discovery-open
EFFR009	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-write-diagnostic.trx	AFE45F57DFC53FB409F4DD442E7EA51F991B0448F685E7ABD92FE221472DA0E3	2	1	1	0	ExpectFence_RolledBackR1NeverReleasesAgentBody	Assert.Equal failure Expected 0 Actual 1 at completed Agent content copy after confirmed B/R1 rollback	SUPERSEDED_RED	EXPECT-FENCE-ROLLBACK / completed content copy	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-final-discovery.trx	Superseded by the final-source assertion ordering, which first verifies no R1 and zero server body reads before reporting the same completed-copy failure.	a3_transport_expect_fence_execution_matrix_v1.md#f1-rollback-discovery-open
EFFR010	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-final-discovery.trx	024D5CAABC6FF404B9FBEC33C996FD5907E50C03306D16ECDA9135BD250F15E9	2	1	1	0	ExpectFence_RolledBackR1NeverReleasesAgentBody	Assert.Equal failure Expected 0 Actual 1 at completed Agent content copy; rollback probe called, no committed R1, and zero server Request.Body reads	SUPERSEDED_RED	EXPECT-FENCE-ROLLBACK / Agent content copy before durable R1	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-rollback-boundary-valid-fixture.trx	Superseded by exact 1024/1025-byte boundary result on the current test fixture.	a3_transport_expect_fence_execution_matrix_v1.md#f1-rollback-discovery-open
