RunId	MacroWave	ScenarioFamily	GuardId	CommandScope	TrxPath	TrxSha256	SourcePath	SourceSha256	Result	Classification	RestoreStatus	Notes
W5-000	W5_RETENTION_CUSTODY	REVISION_SNAPSHOT	BUILD-NAMESPACE-DIAGNOSTIC	Shared lineage test compile before test execution			tests/TagEkyc.IntegrationTests/Tip88C1C6BA3RetentionCheckpointTests.cs		BUILD FAILED BEFORE TEST EXECUTION	EXCLUDED_DIAGNOSTIC	NOT_APPLICABLE	CS0246 missing TagEkyc.Application namespace in new test; one scoped using fixed it before any TRX; successor W5-001 runs on compiled current test source.
W5-001	W5_RETENTION_CUSTODY	CHECKPOINT_HEAD	SHARED-LINEAGE-BASELINE	Permit revision, latest reference across R1/R3/R4/R5 and export withdrawal in one invocation	tests/TagEkyc.IntegrationTests/TestResults/a3-w5/a3-w5-lineage-baseline.trx	EAADA4BD6A5BE67475ADBBE1696CD1880B1687A710B761ABBCF2D7975ED55544	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3RetentionCheckpointTests.cs	7CC506599A2A4DD1EFEB3EFCC5F3845A259D96B7D066BC2334569808E99411A8	7/7 PASS	BASELINE_GREEN	CURRENT_SOURCE	Shared real PostgreSQL/MinIO baseline; two invalid permit revisions, four updated-head checkpoint cases and two export theory branches are represented by seven executed cases.
W5-002	W5_RETENTION_CUSTODY	CHECKPOINT_HEAD	W5-G-LATEST-REFERENCE-HEAD	Same seven cases with only the current-reference-versus-binding revision predicate removed	tests/TagEkyc.IntegrationTests/TestResults/a3-w5/a3-w5-lineage-latest-head-mutation.trx	BC05C4BDB02DC587DB5D4D219DE1EA0336F581274319354D04C1F116019B4006	src/TagEkyc.Infrastructure/Persistence/Migrations/20260913120000_Tip88C1C6BA3RetainedIngressComposition.cs	EE8D4DBE3EA4838D685C0F9E315519870DA0BCAEBF2B8599BD158FC20340E0C6	3 PASS / 4 FAIL	EVIDENCE_RED	RESTORED_BYTE_EXACT	Only R1/R3/R4/R5 updated-reference cases fail at expected SourceRetentionNotAuthorized assertion; revision and export controls stay green. Restored migration SHA F9CE348596EBCC4C79F64675A427AFB179BE5C31D9567C44580AB709ECB313F9.
W5-003	W5_RETENTION_CUSTODY	WITHDRAWAL_AUTHORITY	W5-G-C3-SNAPSHOT-INNER-DIAGNOSTIC	Same seven lineage cases with inner snapshot-current predicate removed	tests/TagEkyc.IntegrationTests/TestResults/a3-w5/a3-w5-lineage-c3-withdrawal-mutation.trx	71C4A28B9D815B5F625F9F278D7712C3985AD1E849C4FB7616BD1327FC83D75F	src/TagEkyc.Infrastructure/Persistence/Migrations/20260913120000_Tip88C1C6BA3RetainedIngressComposition.cs	08C9DFBD9047CCD830343DADD753A2BC0B83D8D91DBA628EF56FAF48733D042B	7/7 PASS	EXCLUDED_DIAGNOSTIC	RESTORED_BYTE_EXACT	Non-discriminating mutation; independent C3 current-authority denial still holds. This run is not RED evidence.
W5-004	W5_RETENTION_CUSTODY	WITHDRAWAL_AUTHORITY	W5-G-C3-BEGIN-AUTHORITY	Same seven lineage cases with production C3 begin-stream current-authority guard removed	tests/TagEkyc.IntegrationTests/TestResults/a3-w5/a3-w5-lineage-c3-begin-guard-mutation.trx	3AD8716061DC541FDEC95F0BC33DADE050EA80237D23AEB59E6B438BEAF98884	src/TagEkyc.Infrastructure/Persistence/Migrations/20260904154848_Tip88C1C6AProductionAuthorityDeliveryBarrier.cs	926C72905F8309CBEFE9761AAF63FDAE941F97278FBC05DA0F4C76D07CD71D0F	6 PASS / 1 FAIL	EVIDENCE_RED	RESTORED_BYTE_EXACT	Only withdrawn retained-source C3 case fails exact Ineligible assertion; the stream attempt moves to Unavailable without provider read. Restored migration SHA 3D4D0106E5CBD568CF3053CA1BFBB529B55070CE975D9561E9F466F9D863F7CF.
W5-005	W5_RETENTION_CUSTODY	POST_LOCK_CLOCK	W5-LINEAGE-RESTORED-JOINED	One restored current-byte gate for lineage and adjacent C3/session-clock controls	tests/TagEkyc.IntegrationTests/TestResults/a3-w5/a3-w5-lineage-restored-joined.trx	955A7E1D8DAB94B267404FF9C6A61C39732DF9B285C1131A0DCBC69E53D90CDA	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3RetentionCheckpointTests.cs	7CC506599A2A4DD1EFEB3EFCC5F3845A259D96B7D066BC2334569808E99411A8	15/15 PASS	RESTORED_GREEN	RESTORED_BYTE_EXACT	One rebuild after both production migrations were restored; permit revision, four reference checkpoints, export withdrawal, both C3 session-order cases, and retained stage cross-border-clock controls pass with zero skip.
W4-001	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	BASELINE-EXISTING	One build and focused ordinary Activated capacity/time-bounds plus private peer/Host controls	tests/TagEkyc.IntegrationTests/TestResults/a3-w4/a3-w4-existing-readiness-baseline.trx	65B32BDABBF4BC873506B25DAA75D2A1A51F46EF4B1FFF332F3CBAC22350B0DF	tests/TagEkyc.IntegrationTests/Tip88C1C6BA3BrokerPipelineTests.cs	AA35E1EADFB15AF6D5242E614BC5F514046B62E8E11C01237EAA4D2ECC5FD25F	3/3 PASS	BASELINE_GREEN	NOT_APPLICABLE	P24/P25/P26 historical components only; no row closure or mutation claim. One focused batch, zero failed/skipped.
W4-002	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	W4-G-CAP-AGENT-ACTUAL-DEFECT	Managed Agent RawVault positive and invalid class/aggregate tuple on predecessor product source	agent/tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-w4/a3-w4-p25-agent-relational-precorrection.trx	53885400DCEE6964993C7EC924640E9BB0194253E03747202AC35F08286012C8	agent/tests/TagEkyc.CaptureAgent.Tests/Tip75WpfCaptureAppTests.cs	E089AC30C08770B9D9E8EE9ED38743ED3418CB7165AC8C7B614A84BA774EDD71	0/1 FAIL	EVIDENCE_RED	CORRECTED_PRODUCT	Positive control passed; invalid portrait maximum greater than aggregate was accepted. This is an actual product defect, not a deliberate mutation; corrected run W4-003.
W4-003	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	W4-G-CAP-AGENT-CORRECTED	Same Agent local configuration test after scoped product correction	agent/tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-w4/a3-w4-p25-agent-relational-corrected.trx	3F889748FEA9C320D745A87809D1DCD4FE69E0CDB684DF7AE49BAE2AF5B3B8D7	agent/src/TagEkyc.CaptureAgent.Core/CaptureAgentProductionConfigGate.cs	051750515D4C6BC2B6E8F38E83886643576236637EF7658D42FFE0FADD5856CE	1/1 PASS	CORRECTED_GREEN	CURRENT_PRODUCT	Invalid capacity is exact O25; polling interval keeps its separate configuration diagnostic.
W4-004	W4_INTERNAL_NO_EGRESS	INTERNAL_NO_EGRESS	W4-G-CAP-AGENT-PORTRAIT	Remove only portrait maximum versus aggregate comparison from corrected Agent production gate	agent/tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-w4/a3-w4-p25-agent-portrait-guard-mutation.trx	F198FCE85E3FFDD433ED2C446EFC5289B03C96785DAAC4727C73C21E88842ED4	agent/src/TagEkyc.CaptureAgent.Core/CaptureAgentProductionConfigGate.cs	F28D66B9AE6FFA5921B3E467375DFBD6C180B07DF5271836A624DA3295E9324D	0/1 FAIL	EVIDENCE_RED	RESTORED_BYTE_EXACT	Valid tuple still passes before invalid loop; no exception at the portrait relationship case. Source restored to 051750515D4C6BC2B6E8F38E83886643576236637EF7658D42FFE0FADD5856CE.
