RunId	TrxPath	TrxSha256	TestSourceSha256	AgentSourceSha256	Total	Passed	Failed	Skipped	Classification	Guard	MappedRows	Note
EF-001	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-attempt-a1.trx	6F4F5B9F517305B49694A8842E309FC5D650F3CD12953F7EE4845A01C5FAD6B7	1A9EC933A327A6C8F17775536752A50B741715635DEB05A57D32863EECED2C1B	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	0	1	0	EXCLUDED_DIAGNOSTIC	NONE	NONE	Docker Engine unavailable before PostgreSQL fixture/business assertion; prior test-source SHA reconstructed from the next exact assertion-only edit, not accepted as final evidence.
EF-002	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-attempt-a2.trx	AEE405C069DBD8C33CA5C03D98FFACF9CA95B98A351059DBDF737BDC887BA516	1A9EC933A327A6C8F17775536752A50B741715635DEB05A57D32863EECED2C1B	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	1	0	0	SUPERSEDED_POSITIVE	NONE	NONE	Earlier static Expect assertion; later current-source baseline and mutation supersede it.
EF-003	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-baseline.trx	66AA8D4BEEAD75D3DB6F028A8BCB2EEF4D9B6ED3B3F9C877806451F4E622079C	AEFAD58AA9132F5C31E220D29261EDAC61C715737EA273EA0367DEF785F25E1F	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	1	0	0	POSITIVE_CONTROL	EXPECT-FENCE-AGENT-EXPECT	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Direct Kestrel/TLS and PostgreSQL F0 only; test fixture authenticator and post-boundary body-pipeline double disclosed.
EF-004	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-agent-no-expect-mutation.trx	CDB697206CAC437BD1EEC7E2833D0D7C57C6F905E3C466A9B251FEC9EE6919AC	AEFAD58AA9132F5C31E220D29261EDAC61C715737EA273EA0367DEF785F25E1F	CB96648FD0C68ECF9450A2968F05CD28D88E38A3CBA7937EF73FB23F5DB3D685	1	0	1	0	SUPERSEDED_RED	EXPECT-FENCE-AGENT-EXPECT	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|Agent raw HTTP Expect → durable server B/R1 before first body byte	Superseded by EF-008 on current test source; Agent Expect true to false made pre-commit serialization Expected 0 Actual 1.
EF-005	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-restored-joined-a1.trx	2068233B980D8DF10A3D0CF4A8576D02514D7538375E621872FE2942FFA8C901	AEFAD58AA9132F5C31E220D29261EDAC61C715737EA273EA0367DEF785F25E1F	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	3	3	0	0	RESTORED_GREEN	EXPECT-FENCE-AGENT-EXPECT	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	F0 plus two shared TLS/Agent harness controls; no four-row closure.
EF-006	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-production-handler-baseline.trx	373BB5685A5753ED57C93A0CF42FB0274555793B3ED50773D7427084BAAEE249	F7061D05FE230A17E03438A55857A9AD3336DAAD2DB6410EBAD31CAA1B535D59	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	1	0	0	SUPERSEDED_POSITIVE	NONE	NONE	First use of production handler with local development-certificate trust only; test-source SHA reconstructed from subsequent exact assertion-only deletion; superseded by EF-007.
EF-007	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-final-source-baseline.trx	40B66950112DA7D683CCE1A55B8707AD5B466148A880922608BC7D55F59554DB	6CF586B2C0EC60A1BCB210026D56190885C7998939F72F7830E39B95628F92E7	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	1	1	0	0	POSITIVE_CONTROL	EXPECT-FENCE-AGENT-EXPECT|EXPECT-FENCE-AGENT-INFINITE	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Current test source, production raw handler; direct Kestrel/TLS and PostgreSQL F0.
EF-008	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-final-agent-no-expect-mutation.trx	F269341DF8A5D6AB9B38138E05A896AEEE5191C415D0CA0B52BC43F538E478C2	6CF586B2C0EC60A1BCB210026D56190885C7998939F72F7830E39B95628F92E7	CB96648FD0C68ECF9450A2968F05CD28D88E38A3CBA7937EF73FB23F5DB3D685	1	0	1	0	EVIDENCE_RED	EXPECT-FENCE-AGENT-EXPECT	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|Agent raw HTTP Expect → durable server B/R1 before first body byte	Current-source Agent Expect true to false; pre-commit serialization Expected 0 Actual 1.
EF-009	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-final-agent-finite-timeout-mutation.trx	F04C9869B11D036831BD63C288BAE15E18767EB01A8A3599C2151B35B28967EC	6CF586B2C0EC60A1BCB210026D56190885C7998939F72F7830E39B95628F92E7	02FB70C33ADD884F31889105EEA14EE758F399231BEEE4207E356AC7DD8E7EE4	1	0	1	0	EVIDENCE_RED	EXPECT-FENCE-AGENT-INFINITE	BP13 ThreeExpectTransportMutationsFailQualification|A3_AgentRawExpectDoesNotSendBeforeCommittedR1	Current-source Agent infinite to 1ms fallback; pre-commit serialization Expected 0 Actual 1. Covers only finite-fallback branch of BP13.
EF-010	tests/TagEkyc.IntegrationTests/TestResults/a3-expect-fence/a3-expect-fence-final-restored-joined.trx	8AD860007E1B567D861B134CB57CFA95EBF3C9A692A818CF21A6B762BF729CB3	6CF586B2C0EC60A1BCB210026D56190885C7998939F72F7830E39B95628F92E7	CD81862E54525E09AFFC3D861AE8163473494079B84A75A7447B128618416A5E	3	3	0	0	RESTORED_GREEN	EXPECT-FENCE-AGENT-EXPECT|EXPECT-FENCE-AGENT-INFINITE	A3_AgentRawExpectDoesNotSendBeforeCommittedR1|BP03 BrokerCommitObservedBeforeFirstRawRead|Agent raw HTTP Expect → durable server B/R1 before first body byte	Current-source F0 plus two shared TLS/Agent harness controls; no four-row closure.
