id	repo	path	sha256	total	passed	failed	skipped	failing_test	first_assertion_or_exception	classification	guard_or_row	successor_trx	exclusion_reason	locator
BA-F001	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-binding-red.trx	6F3BEE4E281D5C57EF745BDA3B2924531F59437AEF908C83C5C41660E9842372	2	1	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403)	Assert.Equal() Failure: Strings differ ↓ (pos 18) Expected: "RAW_EXPORT_SOURCE_BINDING_INVALID" Actual: "RAW_EXPORT_SOURCE_CAPABILITY_UNAVAILABLE" ↑ (pos 18)	SUPERSEDED_RED	BA-G1/P02	a3-broker-admission-v2-binding-final-source-red.trx		packet v1 BA-G1; packet v2 provenance
BA-F002	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-retention-red.trx	18F6F538C3EFDF5C44710CEE683635B39E9C9CC835BACE8B00B23862BC14A093	2	1	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P07", expectedCode: "RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID", expectedStatus: 422)	Assert.Equal() Failure: Strings differ ↓ (pos 18) Expected: "RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INV"··· Actual: "RAW_EXPORT_SOURCE_FINGERPRINT_CONFLICT" ↑ (pos 18)	SUPERSEDED_RED	BA-G2/P07	a3-broker-admission-v2-retention-final-source-red.trx		packet v1 BA-G2; packet v2 provenance
BA-F003	agent	tests/TagEkyc.CaptureAgent.Tests/TestResults/a3-broker-admission-agent-terminal-red.trx	21E28017A80BD45AA96B50537A34894AD943804CCDADED12AB5A21544C731427	2	0	2	0	TagEkyc.CaptureAgent.Tests.Tip88C1C6BA3RetainedOwnershipTests.A3_BrokerAdmissionTerminalDenial_RetiresLeaseAndForbidsSameBufferRetry(outcomeCode: "RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID"); TagEkyc.CaptureAgent.Tests.Tip88C1C6BA3RetainedOwnershipTests.A3_BrokerAdmissionTerminalDenial_RetiresLeaseAndForbidsSameBufferRetry(outcomeCode: "RAW_EXPORT_SOURCE_BINDING_INVALID")	Assert.All() Failure: 64 out of 64 items in the collection did not pass. [0]: Item: 1 Error: Assert.Equal() Failure: Values differ Expected: 0 Actual: 1 [1]: Item: 2 Error: Assert.Equal() Failure: Values differ Expected: 0 Actual: 2 [2]: Item: 3 Error: Assert.Equal() Failure: Values differ Expected: 0 Actual: 3 [3]: Item: 4 Error: Assert.Equal() Failure: Values differ Expected: 0 Actual: 4 [4]: Item: 5 Error: Assert.Equal() Failure: Values differ Expected: 0 Actual: 5 [5]: Item: 6 Error: Assert.	EVIDENCE_RED	BA-G3/P02+P07			packet v2 BA-G3; matrix v2 P02/P07
BA-F004	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-v2-server-baseline.trx	C12AE5AA1584110B200643F6C9A324BEFE600F825C6C7024AEF2CD6D32452398	3	1	2	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-foreign", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403); TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-missing", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403)	System.ArgumentException : Disposable database purpose is invalid. (Parameter 'purpose')	EXCLUDED_DIAGNOSTIC			Fixture purpose contained a hyphen and failed before the business assertion.	packet v2 diagnostics
BA-F005	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-v2-server-baseline-v2.trx	A70D3BBF95EA888FBD1D9F80B969777F55227276E7F71DE3CDDDC9CD9D52112A	3	2	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-foreign", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403)	System.InvalidOperationException : Sequence contains no elements.	EXCLUDED_DIAGNOSTIC			Foreign client seed omitted its consent-recorder authority and failed during arrangement.	packet v2 diagnostics
BA-F006	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-v2-binding-red.trx	52A3D50109DCB584802AC57F6A2CA9692312D238F25D69EB8A3C6C96167C0531	3	1	2	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-foreign", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403); TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-missing", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403)	Assert.Equal() Failure: Strings differ ↓ (pos 18) Expected: "RAW_EXPORT_SOURCE_BINDING_INVALID" Actual: "RAW_EXPORT_SOURCE_CAPABILITY_UNAVAILABLE" ↑ (pos 18)	SUPERSEDED_RED	BA-G1/P02	a3-broker-admission-v2-binding-final-source-red.trx		packet v2 BA-G1 historical locator
BA-F007	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-v2-binding-final-source-red.trx	316417D7FBF61EDC72B50936CC46669008E461776126AA11EFFAC71EA50AB712	3	1	2	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-missing", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403); TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-foreign", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403)	Assert.Equal() Failure: Strings differ ↓ (pos 18) Expected: "RAW_EXPORT_SOURCE_BINDING_INVALID" Actual: "RAW_EXPORT_SOURCE_CAPABILITY_UNAVAILABLE" ↑ (pos 18)	EVIDENCE_RED	BA-G1/P02			packet v2 BA-G1; matrix v2 P02
BA-F008	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-v2-retention-red.trx	38E3DBE2E9D418AC2FE877B304FE1BCCD4155B9CF6A5E5E1BD382E545A6DA662	3	2	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P07", expectedCode: "RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID", expectedStatus: 422)	Assert.Equal() Failure: Strings differ ↓ (pos 18) Expected: "RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INV"··· Actual: "RAW_EXPORT_SOURCE_FINGERPRINT_CONFLICT" ↑ (pos 18)	SUPERSEDED_RED	BA-G2/P07	a3-broker-admission-v2-retention-final-source-red.trx		packet v2 BA-G2 historical locator
BA-F009	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-v2-retention-final-source-red.trx	0DEC3D57F440C0730210B7ACBF7AD89F27860C999F9B7602A539CB52FC7DF01D	3	2	1	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P07", expectedCode: "RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID", expectedStatus: 422)	Assert.Equal() Failure: Strings differ ↓ (pos 18) Expected: "RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INV"··· Actual: "RAW_EXPORT_SOURCE_FINGERPRINT_CONFLICT" ↑ (pos 18)	EVIDENCE_RED	BA-G2/P07			packet v2 BA-G2; matrix v2 P07
BA-F010	server	tests/TagEkyc.IntegrationTests/TestResults/a3-broker-admission-v2-foreign-artifact-guard-red.trx	FB0DB2DEFD376E01AD4B29ACF30D9197390BF0C443DD16A9E0A9CD0BDC5BCD67	3	0	3	0	TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-missing", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403); TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P02-foreign", expectedCode: "RAW_EXPORT_SOURCE_BINDING_INVALID", expectedStatus: 403); TagEkyc.IntegrationTests.Tip88C1C6BA3BrokerAdmissionClusterTests.ReachableAdmissionFinalsTraverseKestrelAgentWithoutReadingBody(row: "P07", expectedCode: "RAW_EXPORT_SOURCE_PLAINTEXT_RETENTION_INVALID", expectedStatus: 422)	Assert.Equal() Failure: Strings differ ↓ (pos 0) Expected: "RAW_EXPORT_SOURCE_BINDING_INVALID" Actual: "SOURCE_RETENTION_NOT_AUTHORIZED" ↑ (pos 0)	EXCLUDED_DIAGNOSTIC			Restoration patch accidentally altered the adjacent fingerprint branch while BA-G4 was applied.	packet v2 diagnostics
